time,op,size
0,a,16
1,a,1234
2,a,1234
3,f,16
4,a,600
5,a,16
6,a,1234
7,a,16
8,a,1234
9,f,16
10,a,600
11,f,1234
12,a,1234
13,a,1234
14,a,1234
15,a,1234
16,f,1234
17,a,600
18,a,600
19,f,1234
20,a,134
21,f,1234
22,f,16
23,a,134
24,a,134
25,f,600
26,f,600
27,f,1234
28,f,134
29,a,1234
30,f,1234
31,f,1234
32,a,1234
33,a,134
34,a,16
35,a,1234
36,a,134
37,f,134
38,a,600
39,f,600
40,a,600
41,f,134
42,a,16
43,f,1234
44,f,1234
45,a,16
46,f,600
47,f,134
48,f,1234
49,a,600
50,a,16
51,a,600
52,a,600
53,a,134
54,a,16
55,f,16
56,a,1234
57,f,16
58,f,16
59,a,16
60,f,600
61,a,134
62,f,600
63,f,134
64,a,600
65,f,600
66,a,600
67,a,1234
68,f,16
69,f,1234
70,a,600
71,f,600
72,a,600
73,a,600
74,f,16
75,f,134
76,f,1234
77,f,600
78,f,600
79,a,1234
80,f,600
81,a,16
82,f,600
83,a,600
84,a,16
85,f,16
86,a,134
87,a,1234
88,a,600
89,a,600
90,f,600
91,a,600
92,f,1234
93,a,1234
94,a,600
95,f,600
96,f,16
97,f,134
98,a,134
99,f,134
100,a,16
101,f,134
102,a,134
103,f,1234
104,a,600
105,f,600
106,a,1234
107,f,600
108,a,600
109,a,1234
110,f,1234
111,f,600
112,a,600
113,f,16
114,a,600
115,f,600
116,f,134
117,a,600
118,a,16
119,f,1234
120,a,600
121,a,16
122,a,600
123,a,16
124,f,600
125,f,600
126,f,16
127,f,600
128,f,16
129,a,134
130,f,600
131,a,600
132,a,16
133,a,1234
134,f,134
135,f,1234
136,a,1234
137,a,1234
138,a,600
139,f,16
140,f,1234
141,f,1234
142,f,600
143,f,1234
144,a,1234
145,a,600
146,a,1234
147,f,1234
148,f,600
149,a,600
150,f,600
151,a,1234
152,f,1234
153,a,16
154,f,16
155,f,600
156,a,16
157,a,1234
158,a,16
159,f,16
160,a,134
161,a,600
162,f,16
163,f,1234
164,a,134
165,f,600
166,f,134
167,f,600
168,f,134
169,f,600
170,a,1234
171,f,16
172,a,16
173,f,600
174,a,600
175,a,1234
176,f,600
177,a,1234
178,f,600
179,f,1234
180,f,1234
181,f,1234
182,f,16
183,f,16
184,f,1234
185,a,134
186,a,134
187,a,134
188,a,16
189,f,134
190,f,134
191,a,1234
192,a,16
193,f,16
194,a,134
195,a,16
196,a,16
197,f,134
198,a,600
199,f,1234
200,a,600
201,f,16
202,a,134
203,a,600
204,f,600
205,f,16
206,a,16
207,f,134
208,f,16
209,f,16
210,a,16
211,f,134
212,a,16
213,a,600
214,a,1234
215,a,600
216,f,16
217,a,1234
218,a,600
219,a,1234
220,f,16
221,f,600
222,a,134
223,a,600
224,a,600
225,a,16
226,a,1234
227,f,600
228,f,600
229,a,134
230,a,16
231,f,1234
232,f,16
233,f,600
234,a,134
235,a,16
236,a,16
237,f,1234
238,a,1234
239,a,134
240,f,16
241,a,1234
242,a,16
243,f,134
244,a,134
245,a,16
246,f,1234
247,a,134
248,f,134
249,f,134
250,f,1234
251,a,134
252,a,134
253,a,1234
254,f,1234
255,a,16
256,f,134
257,f,16
258,f,600
259,a,134
260,a,134
261,a,1234
262,f,600
263,a,600
264,f,134
265,a,16
266,f,1234
267,f,1234
268,f,16
269,f,134
270,f,16
271,f,134
272,f,16
273,a,1234
274,a,1234
275,f,1234
276,a,1234
277,f,134
278,a,600
279,a,1234
280,f,1234
281,f,1234
282,f,1234
283,a,600
284,a,16
285,f,600
286,a,134
287,a,600
288,a,600
289,f,600
290,f,600
291,a,1234
292,f,1234
293,f,134
294,a,16
295,f,134
296,a,134
297,a,600
298,f,1234
299,f,600
300,f,16
301,f,600
302,a,1234
303,a,16
304,f,134
305,a,134
306,f,16
307,f,600
308,f,16
309,a,16
310,a,134
311,a,134
312,f,134
313,a,134
314,f,16
315,a,600
316,a,16
317,f,600
318,a,1234
319,a,134
320,f,16
321,a,600
322,f,600
323,a,600
324,f,600
325,f,16
326,f,1234
327,f,600
328,a,1234
329,a,134
330,a,600
331,a,600
332,f,134
333,f,134
334,a,1234
335,a,600
336,f,134
337,a,1234
338,a,134
339,a,600
340,f,1234
341,f,134
342,f,16
343,a,600
344,a,16
345,a,134
346,a,600
347,a,134
348,f,134
349,a,600
350,f,600
351,f,134
352,a,600
353,f,600
354,a,16
355,f,134
356,a,600
357,f,600
358,f,600
359,a,1234
360,a,16
361,f,600
362,a,1234
363,f,16
364,f,600
365,f,1234
366,f,1234
367,f,600
368,a,134
369,f,134
370,f,16
371,a,600
372,f,600
373,f,16
374,f,600
375,f,1234
376,f,134
377,a,1234
378,a,600
379,a,1234
380,a,600
381,a,134
382,a,600
383,a,600
384,f,1234
385,f,600
386,a,134
387,a,1234
388,a,16
389,f,600
390,a,1234
391,a,134
392,f,134
393,f,134
394,f,600
395,f,16
