time,op,size
0,a,5
1,f,5
2,a,120
3,a,12
4,a,776
5,a,112
6,a,952
7,a,216
8,a,432
9,a,104
10,a,88
11,a,120
12,a,168
13,a,104
14,a,80
15,a,192
16,a,12
17,a,12
18,a,12
19,a,12
20,a,12
21,a,12
22,a,12
23,a,12
24,a,12
25,a,12
26,a,12
27,a,12
28,a,12
29,a,12
30,a,29
31,a,5
32,a,8
33,a,480
34,a,480
35,a,568
36,f,568
37,a,1264
38,f,1264
39,a,22
40,a,24
41,a,16
42,a,24
43,a,16
44,a,40
45,a,16
46,a,512
47,a,16
48,a,512
49,a,16
50,a,512
51,a,48
52,a,9
53,a,9
54,a,32
55,a,22
56,a,31
57,a,48
58,a,6
59,a,6
60,a,32
61,a,10
62,a,16
63,a,48
64,a,5
65,a,5
66,a,32
67,a,15
68,a,20
69,a,48
70,a,9
71,a,9
72,a,32
73,a,5
74,a,14
75,a,48
76,a,11
77,a,11
78,a,32
79,a,25
80,a,36
81,a,48
82,a,14
83,a,14
84,a,32
85,a,45
86,a,59
87,a,48
88,a,9
89,a,9
90,a,32
91,a,104
92,a,113
93,a,48
94,a,11
95,a,11
96,a,32
97,a,80
98,a,91
99,a,48
100,a,6
101,a,6
102,a,32
103,a,18
104,a,24
105,a,48
106,a,6
107,a,6
108,a,32
109,a,26
110,a,32
111,a,48
112,a,8
113,a,8
114,a,32
115,a,11
116,a,19
117,a,48
118,a,22
119,a,22
120,a,32
121,a,75
122,a,97
123,a,48
124,a,5
125,a,5
126,a,32
127,a,8
128,a,13
129,a,48
130,a,10
131,a,10
132,a,32
133,a,1254
134,a,1264
135,a,48
136,a,15
137,a,15
138,a,32
139,a,28
140,a,43
141,a,48
142,a,5
143,a,5
144,a,32
145,a,139
146,a,144
147,a,48
148,a,5
149,a,5
150,a,32
151,a,24
152,a,29
153,a,48
154,a,4
155,a,4
156,a,32
157,a,69
158,a,73
159,a,48
160,a,5
161,a,5
162,a,32
163,a,12
164,a,17
165,a,48
166,a,8
167,a,8
168,a,32
169,a,5
170,a,13
171,a,48
172,a,11
173,a,11
174,a,32
175,a,32
176,a,43
177,a,48
178,a,12
179,a,12
180,a,32
181,a,11
182,a,23
183,a,48
184,a,12
185,a,12
186,a,32
187,a,39
188,a,51
189,a,48
190,a,5
191,a,5
192,a,32
193,a,34
194,a,39
195,a,48
196,a,6
197,a,6
198,a,32
199,a,2
200,a,8
201,a,48
202,a,8
203,a,8
204,a,32
205,a,8
206,a,16
207,a,48
208,a,8
209,a,8
210,a,32
211,a,4
212,a,12
213,a,48
214,a,6
215,a,6
216,a,32
217,a,22
218,a,28
219,a,48
220,a,15
221,a,15
222,a,32
223,a,38
224,a,53
225,a,48
226,a,9
227,a,9
228,a,32
229,a,25
230,a,34
231,a,48
232,a,8
233,a,8
234,a,32
235,a,15
236,a,23
237,a,48
238,a,19
239,a,19
240,a,32
241,a,2
242,a,21
243,a,48
244,a,11
245,a,11
246,a,32
247,a,19
248,a,30
249,a,48
250,a,2
251,a,2
252,a,32
253,a,27
254,a,29
255,a,69
256,a,48
257,a,7
258,a,7
259,a,32
260,a,48
261,a,4
262,a,4
263,a,32
264,a,3
265,a,48
266,a,4
267,a,4
268,a,32
269,a,4
270,a,32
271,a,208
272,a,208
273,a,48
274,a,9
275,a,9
276,a,32
277,a,7
278,a,48
279,a,7
280,a,7
281,a,32
282,a,10
283,a,48
284,a,9
285,a,9
286,a,32
287,a,24
288,a,2
289,f,8
290,f,2
291,a,48
292,a,5
293,a,5
294,a,32
295,a,5
296,a,48
297,a,7
298,a,7
299,a,32
300,a,2
301,a,48
302,a,7
303,a,7
304,a,32
305,a,2
306,a,8
307,a,48
308,a,5
309,a,5
310,a,32
311,a,8
312,f,8
313,a,48
314,a,13
315,a,13
316,a,32
317,a,17
318,a,48
319,a,14
320,a,14
321,a,32
322,a,32
323,a,32
324,a,32
325,a,2
326,a,32
327,a,2
328,a,32
329,a,2
330,a,32
331,a,2
332,a,32
333,a,8
334,a,32
335,a,24
336,a,48
337,a,4
338,a,4
339,a,32
340,a,8
341,a,48
342,a,5
343,a,5
344,a,32
345,a,8
346,a,48
347,a,8
348,a,8
349,a,32
350,a,48
351,a,13
352,a,13
353,a,32
354,a,48
355,a,14
356,a,14
357,a,32
358,a,48
359,a,7
360,a,7
361,a,32
362,a,48
363,a,7
364,a,7
365,a,32
366,a,48
367,a,8
368,a,8
369,a,32
370,a,48
371,a,8
372,a,8
373,a,32
374,a,48
375,a,16
376,a,16
377,a,32
378,a,48
379,a,9
380,a,9
381,a,32
382,a,32
383,a,32
384,a,48
385,a,7
386,a,7
387,a,32
388,a,32
389,a,32
390,a,48
391,a,10
392,a,10
393,a,32
394,a,32
395,a,32
396,a,48
397,a,10
398,a,10
399,a,32
400,a,32
401,a,32
402,a,48
403,a,12
404,a,12
405,a,32
406,a,32
407,a,32
408,a,48
409,a,12
410,a,12
411,a,32
412,a,32
413,a,32
414,a,48
415,a,10
416,a,10
417,a,32
418,a,16
419,a,512
420,a,48
421,a,13
422,a,13
423,a,32
424,a,16
425,a,512
426,a,48
427,a,9
428,a,9
429,a,32
430,a,32
431,a,32
432,a,42
433,a,48
434,a,10
435,a,10
436,a,32
437,a,41
438,f,42
439,a,97
440,a,48
441,a,9
442,a,9
443,a,32
444,a,96
445,f,97
446,a,1
447,a,544
448,a,16
449,a,544
450,f,16
451,a,280
452,a,31
453,a,20
454,a,16
455,a,14
456,a,59
457,a,36
458,a,113
459,a,91
460,a,24
461,a,32
462,a,19
463,a,13
464,a,97
465,a,1264
466,a,43
467,a,29
468,a,144
469,a,29
470,a,73
471,a,17
472,a,13
473,a,51
474,a,23
475,a,43
476,a,8
477,a,8
478,a,39
479,a,16
480,a,28
