time,op,size
0,a,20
1,a,12
2,a,20
3,a,12
4,a,20
5,a,12
6,a,20
7,a,12
8,a,20
9,a,12
10,a,20
11,a,12
12,a,20
13,a,12
14,a,20
15,a,12
16,a,20
17,a,12
18,a,20
19,a,12
20,a,20
21,a,12
22,a,20
23,a,12
24,a,20
25,a,12
26,a,20
27,a,12
28,a,20
29,a,12
30,a,20
31,a,12
32,a,20
33,a,12
34,a,20
35,a,12
36,a,20
37,a,12
38,a,20
39,a,12
40,a,20
41,a,12
42,a,20
43,a,12
44,a,20
45,a,12
46,a,20
47,a,12
48,a,20
49,a,12
50,a,20
51,a,12
52,a,20
53,a,12
54,a,20
55,a,12
56,a,20
57,a,12
58,a,20
59,a,12
60,a,20
61,a,12
62,a,20
63,a,12
64,a,20
65,a,12
66,a,20
67,a,12
68,a,20
69,a,12
70,a,20
71,a,12
72,a,20
73,a,12
74,a,20
75,a,12
76,a,20
77,a,12
78,a,20
79,a,12
80,a,20
81,a,12
82,a,20
83,a,12
84,a,20
85,a,12
86,a,20
87,a,12
88,a,20
89,a,12
90,a,20
91,a,12
92,a,20
93,a,12
94,a,20
95,a,12
96,a,20
97,a,12
98,a,20
99,a,12
100,a,20
101,a,12
102,a,20
103,a,12
104,a,20
105,a,12
106,a,20
107,a,12
108,a,20
109,a,12
110,a,20
111,a,12
112,a,20
113,a,12
114,a,20
115,a,12
116,a,20
117,a,12
118,a,20
119,a,12
120,a,20
121,a,12
122,a,20
123,a,12
124,a,20
125,a,12
126,a,20
127,a,12
128,a,20
129,a,12
130,a,20
131,a,12
132,a,20
133,a,12
134,a,20
135,a,12
136,a,20
137,a,12
138,a,20
139,a,12
140,a,20
141,a,12
142,a,20
143,a,12
144,a,20
145,a,12
146,a,20
147,a,12
148,a,20
149,a,12
150,a,20
151,a,12
152,a,20
153,a,12
154,a,20
155,a,12
156,a,20
157,a,12
158,a,20
159,a,12
160,a,20
161,a,12
162,a,20
163,a,12
164,a,20
165,a,12
166,a,20
167,a,12
168,a,20
169,a,12
170,a,20
171,a,12
172,a,20
173,a,12
174,a,20
175,a,12
176,a,20
177,a,12
178,a,20
179,a,12
180,a,20
181,a,12
182,a,20
183,a,12
184,a,20
185,a,12
186,a,20
187,a,12
188,a,20
189,a,12
190,a,20
191,a,12
192,a,20
193,a,12
194,a,20
195,a,12
196,a,20
197,a,12
198,a,20
199,a,12
200,a,20
201,a,12
202,a,20
203,a,12
204,a,20
205,a,12
206,a,20
207,a,12
208,a,20
209,a,12
210,a,20
211,a,12
212,a,20
213,a,12
214,a,20
215,a,12
216,a,20
217,a,12
218,a,20
219,a,12
220,a,20
221,a,12
222,a,20
223,a,12
224,a,20
225,a,12
226,a,20
227,a,12
228,a,20
229,a,12
230,a,20
231,a,12
232,a,20
233,a,12
234,a,20
235,a,12
236,a,20
237,a,12
238,a,20
239,a,12
240,a,20
241,a,12
242,a,20
243,a,12
244,a,20
245,a,12
246,a,20
247,a,12
248,a,20
249,a,12
250,a,20
251,a,12
252,a,20
253,a,12
254,a,20
255,a,12
256,a,20
257,a,12
258,a,20
259,a,12
260,a,20
261,a,12
262,a,20
263,a,12
264,a,20
265,a,12
266,a,20
267,a,12
268,a,20
269,a,12
270,a,20
271,a,12
272,a,20
273,a,12
274,a,20
275,a,12
276,a,20
277,a,12
278,a,20
279,a,12
280,a,20
281,a,12
282,a,20
283,a,12
284,a,20
285,a,12
286,a,20
287,a,12
288,a,20
289,a,12
290,a,20
291,a,12
292,a,20
293,a,12
294,a,20
295,a,12
296,a,20
297,a,12
298,a,20
299,a,12
300,a,20
301,a,12
302,a,20
303,a,12
304,a,20
305,a,12
306,a,20
307,a,12
308,a,20
309,a,12
310,a,20
311,a,12
312,a,20
313,a,12
314,a,20
315,a,12
316,a,20
317,a,12
318,a,20
319,a,12
320,a,20
321,a,12
322,a,20
323,a,12
324,a,20
325,a,12
326,a,20
327,a,12
328,a,20
329,a,12
330,a,20
331,a,12
332,a,20
333,a,12
334,a,20
335,a,12
336,a,20
337,a,12
338,a,20
339,a,12
340,a,20
341,a,12
342,a,20
343,a,12
344,a,20
345,a,12
346,a,20
347,a,12
348,a,20
349,a,12
350,a,20
351,a,12
352,a,20
353,a,12
354,a,20
355,a,12
356,a,20
357,a,12
358,a,20
359,a,12
360,a,20
361,a,12
362,a,20
363,a,12
364,a,20
365,a,12
366,a,20
367,a,12
368,a,20
369,a,12
370,a,20
371,a,12
372,a,20
373,a,12
374,a,20
375,a,12
376,a,20
377,a,12
378,a,20
379,a,12
380,a,20
381,a,12
382,a,20
383,a,12
384,a,20
385,a,12
386,a,20
387,a,12
388,a,20
389,a,12
390,a,20
391,a,12
392,a,20
393,a,12
394,a,20
395,a,12
396,a,20
397,a,12
398,a,20
399,a,12
400,a,20
401,a,12
402,a,20
403,a,12
404,a,20
405,a,12
406,a,20
407,a,12
408,a,20
409,a,12
410,a,20
411,a,12
412,a,20
413,a,12
414,a,20
415,a,12
416,a,20
417,a,12
418,a,20
419,a,12
420,a,20
421,a,12
422,a,20
423,a,12
424,a,20
425,a,12
426,a,20
427,a,12
428,a,20
429,a,12
430,a,20
431,a,12
432,a,20
433,a,12
434,a,20
435,a,12
436,a,20
437,a,12
438,a,20
439,a,12
440,a,20
441,a,12
442,a,20
443,a,12
444,a,20
445,a,12
446,a,20
447,a,12
448,a,20
449,a,12
450,a,20
451,a,12
452,a,20
453,a,12
454,a,20
455,a,12
456,a,20
457,a,12
458,a,20
459,a,12
460,a,20
461,a,12
462,a,20
463,a,12
464,a,20
465,a,12
466,a,20
467,a,12
468,a,20
469,a,12
470,a,20
471,a,12
472,a,20
473,a,12
474,a,20
475,a,12
476,a,20
477,a,12
478,a,20
479,a,12
480,a,20
481,a,12
482,a,20
483,a,12
484,a,20
485,a,12
486,a,20
487,a,12
488,a,20
489,a,12
490,a,20
491,a,12
492,a,20
493,a,12
494,a,20
495,a,12
496,a,20
497,a,12
498,a,20
499,a,12
500,a,20
501,a,12
502,a,20
503,a,12
504,a,20
505,a,12
506,a,20
507,a,12
508,a,20
509,a,12
510,a,20
511,a,12
512,a,20
513,a,12
514,a,20
515,a,12
516,a,20
517,a,12
518,a,20
519,a,12
520,a,20
521,a,12
522,a,20
523,a,12
524,a,20
525,a,12
526,a,20
527,a,12
528,a,20
529,a,12
530,a,20
531,a,12
532,a,20
533,a,12
534,a,20
535,a,12
536,a,20
537,a,12
538,a,20
539,a,12
540,a,20
541,a,12
542,a,20
543,a,12
544,a,20
545,a,12
546,a,20
547,a,12
548,a,20
549,a,12
550,a,20
551,a,12
552,a,20
553,a,12
554,a,20
555,a,12
556,a,20
557,a,12
558,a,20
559,a,12
560,a,20
561,a,12
562,a,20
563,a,12
564,a,20
565,a,12
566,a,20
567,a,12
568,a,20
569,a,12
570,a,20
571,a,12
572,a,20
573,a,12
574,a,20
575,a,12
576,a,20
577,a,12
578,a,20
579,a,12
580,a,20
581,a,12
582,a,20
583,a,12
584,a,20
585,a,12
586,a,20
587,a,12
588,a,20
589,a,12
590,a,20
591,a,12
592,a,20
593,a,12
594,a,20
595,a,12
596,a,20
597,a,12
598,a,20
599,a,12
600,a,20
601,a,12
602,a,20
603,a,12
604,a,20
605,a,12
606,a,20
607,a,12
608,a,20
609,a,12
610,a,20
611,a,12
612,a,20
613,a,12
614,a,20
615,a,12
616,a,20
617,a,12
618,a,20
619,a,12
620,a,20
621,a,12
622,a,20
623,a,12
624,a,20
625,a,12
626,a,20
627,a,12
628,a,20
629,a,12
630,a,20
631,a,12
632,a,20
633,a,12
634,a,20
635,a,12
636,a,20
637,a,12
638,a,20
639,a,12
640,a,20
641,a,12
642,a,20
643,a,12
644,a,20
645,a,12
646,a,20
647,a,12
648,a,20
649,a,12
650,a,20
651,a,12
652,a,20
653,a,12
654,a,20
655,a,12
656,a,20
657,a,12
658,a,20
659,a,12
660,a,20
661,a,12
662,a,20
663,a,12
664,a,20
665,a,12
666,a,20
667,a,12
668,a,20
669,a,12
670,a,20
671,a,12
672,a,20
673,a,12
674,a,20
675,a,12
676,a,20
677,a,12
678,a,20
679,a,12
680,a,20
681,a,12
682,a,20
683,a,12
684,a,20
685,a,12
686,a,20
687,a,12
688,a,20
689,a,12
690,a,20
691,a,12
692,a,20
693,a,12
694,a,20
695,a,12
696,a,20
697,a,12
698,a,20
699,a,12
700,a,20
701,a,12
702,a,20
703,a,12
704,a,20
705,a,12
706,a,20
707,a,12
708,a,20
709,a,12
710,a,20
711,a,12
712,a,20
713,a,12
714,a,20
715,a,12
716,a,20
717,a,12
718,a,20
719,a,12
720,a,20
721,a,12
722,a,20
723,a,12
724,a,20
725,a,12
726,a,20
727,a,12
728,a,20
729,a,12
730,a,20
731,a,12
732,a,20
733,a,12
734,a,20
735,a,12
736,a,20
737,a,12
738,a,20
739,a,12
740,a,20
741,a,12
742,a,20
743,a,12
744,a,20
745,a,12
746,a,20
747,a,12
748,a,20
749,a,12
750,a,20
751,a,12
752,a,20
753,a,12
754,a,20
755,a,12
756,a,20
757,a,12
758,a,20
759,a,12
760,a,20
761,a,12
762,a,20
763,a,12
764,a,20
765,a,12
766,a,20
767,a,12
768,a,20
769,a,12
770,a,20
771,a,12
772,a,20
773,a,12
774,a,20
775,a,12
776,a,20
777,a,12
778,a,20
779,a,12
780,a,20
781,a,12
782,a,20
783,a,12
784,a,20
785,a,12
786,a,20
787,a,12
788,a,20
789,a,12
790,a,20
791,a,12
792,a,20
793,a,12
794,a,20
795,a,12
796,a,20
797,a,12
798,a,20
799,a,12
800,a,20
801,a,12
802,a,20
803,a,12
804,a,20
805,a,12
806,a,20
807,a,12
808,a,20
809,a,12
810,a,20
811,a,12
812,a,20
813,a,12
814,a,20
815,a,12
816,a,20
817,a,12
818,a,20
819,a,12
820,a,20
821,a,12
822,a,20
823,a,12
824,a,20
825,a,12
826,a,20
827,a,12
828,a,20
829,a,12
830,a,20
831,a,12
832,a,20
833,a,12
834,a,20
835,a,12
836,a,20
837,a,12
838,a,20
839,a,12
840,a,20
841,a,12
842,a,20
843,a,12
844,a,20
845,a,12
846,a,20
847,a,12
848,a,20
849,a,12
850,a,20
851,a,12
852,a,20
853,a,12
854,a,20
855,a,12
856,a,20
857,a,12
858,a,20
859,a,12
860,a,20
861,a,12
862,a,20
863,a,12
864,a,20
865,a,12
866,a,20
867,a,12
868,a,20
869,a,12
870,a,20
871,a,12
872,a,20
873,a,12
874,a,20
875,a,12
876,a,20
877,a,12
878,a,20
879,a,12
880,a,20
881,a,12
882,a,20
883,a,12
884,a,20
885,a,12
886,a,20
887,a,12
888,a,20
889,a,12
890,a,20
891,a,12
892,a,20
893,a,12
894,a,20
895,a,12
896,a,20
897,a,12
898,a,20
899,a,12
900,a,20
901,a,12
902,a,20
903,a,12
904,a,20
905,a,12
906,a,20
907,a,12
908,a,20
909,a,12
910,a,20
911,a,12
912,a,20
913,a,12
914,a,20
915,a,12
916,a,20
917,a,12
918,a,20
919,a,12
920,a,20
921,a,12
922,a,20
923,a,12
924,a,20
925,a,12
926,a,20
927,a,12
928,a,20
929,a,12
930,a,20
931,a,12
932,a,20
933,a,12
934,a,20
935,a,12
936,a,20
937,a,12
938,a,20
939,a,12
940,a,20
941,a,12
942,a,20
943,a,12
944,a,20
945,a,12
946,a,20
947,a,12
948,a,20
949,a,12
950,a,20
951,a,12
952,a,20
953,a,12
954,a,20
955,a,12
956,a,20
957,a,12
958,a,20
959,a,12
960,a,20
961,a,12
962,a,20
963,a,12
964,a,20
965,a,12
966,a,20
967,a,12
968,a,20
969,a,12
970,a,20
971,a,12
972,a,20
973,a,12
974,a,20
975,a,12
976,a,20
977,a,12
978,a,20
979,a,12
980,a,20
981,a,12
982,a,20
983,a,12
984,a,20
985,a,12
986,a,20
987,a,12
988,a,20
989,a,12
990,a,20
991,a,12
992,a,20
993,a,12
994,a,20
995,a,12
