time,op,size
0,a,5
1,f,5
2,a,120
3,a,12
4,a,776
5,a,112
6,a,952
7,a,216
8,a,432
9,a,104
10,a,88
11,a,120
12,a,168
13,a,104
14,a,80
15,a,192
16,a,12
17,a,12
18,a,12
19,a,12
20,a,12
21,a,12
22,a,12
23,a,12
24,a,12
25,a,12
26,a,12
27,a,12
28,a,12
29,a,12
30,a,29
31,a,5
32,a,8
33,a,480
34,a,480
35,a,568
36,f,568
37,a,1264
38,f,1264
39,a,22
40,a,24
41,a,16
42,a,24
43,a,16
44,a,40
45,a,16
46,a,512
47,a,16
48,a,512
49,a,16
50,a,512
51,a,48
52,a,9
53,a,9
54,a,32
55,a,22
56,a,31
57,a,48
58,a,6
59,a,6
60,a,32
61,a,10
62,a,16
63,a,48
64,a,5
65,a,5
66,a,32
67,a,15
68,a,20
69,a,48
70,a,9
71,a,9
72,a,32
73,a,5
74,a,14
75,a,48
76,a,11
77,a,11
78,a,32
79,a,25
80,a,36
81,a,48
82,a,14
83,a,14
84,a,32
85,a,45
86,a,59
87,a,48
88,a,9
89,a,9
90,a,32
91,a,104
92,a,113
93,a,48
94,a,11
95,a,11
96,a,32
97,a,76
98,a,87
99,a,48
100,a,6
101,a,6
102,a,32
103,a,18
104,a,24
105,a,48
106,a,6
107,a,6
108,a,32
109,a,26
110,a,32
111,a,48
112,a,8
113,a,8
114,a,32
115,a,11
116,a,19
117,a,48
118,a,5
119,a,5
120,a,32
121,a,8
122,a,13
123,a,48
124,a,22
125,a,22
126,a,32
127,a,42
128,a,64
129,a,48
130,a,16
131,a,16
132,a,32
133,a,42
134,a,58
135,a,48
136,a,10
137,a,10
138,a,32
139,a,1254
140,a,1264
141,a,48
142,a,15
143,a,15
144,a,32
145,a,28
146,a,43
147,a,48
148,a,27
149,a,27
150,a,32
151,a,21
152,a,48
153,a,48
154,a,5
155,a,5
156,a,32
157,a,139
158,a,144
159,a,48
160,a,5
161,a,5
162,a,32
163,a,24
164,a,29
165,a,48
166,a,4
167,a,4
168,a,32
169,a,65
170,a,69
171,a,48
172,a,5
173,a,5
174,a,32
175,a,12
176,a,17
177,a,48
178,a,8
179,a,8
180,a,32
181,a,5
182,a,13
183,a,48
184,a,11
185,a,11
186,a,32
187,a,32
188,a,43
189,a,48
190,a,12
191,a,12
192,a,32
193,a,11
194,a,23
195,a,48
196,a,12
197,a,12
198,a,32
199,a,39
200,a,51
201,a,48
202,a,5
203,a,5
204,a,32
205,a,34
206,a,39
207,a,48
208,a,6
209,a,6
210,a,32
211,a,2
212,a,8
213,a,48
214,a,15
215,a,15
216,a,32
217,a,33
218,a,48
219,a,48
220,a,8
221,a,8
222,a,32
223,a,8
224,a,16
225,a,48
226,a,8
227,a,8
228,a,32
229,a,4
230,a,12
231,a,48
232,a,6
233,a,6
234,a,32
235,a,22
236,a,28
237,a,48
238,a,15
239,a,15
240,a,32
241,a,38
242,a,53
243,a,48
244,a,9
245,a,9
246,a,32
247,a,25
248,a,34
249,a,48
250,a,21
251,a,21
252,a,32
253,a,7
254,a,28
255,a,48
256,a,8
257,a,8
258,a,32
259,a,15
260,a,23
261,a,48
262,a,19
263,a,19
264,a,32
265,a,2
266,a,21
267,a,48
268,a,11
269,a,11
270,a,32
271,a,19
272,a,30
273,a,48
274,a,24
275,a,24
276,a,32
277,a,42
278,a,66
279,a,48
280,a,19
281,a,19
282,a,32
283,a,76
284,a,95
285,a,65
286,a,48
287,a,7
288,a,7
289,a,32
290,a,48
291,a,2
292,a,2
293,a,32
294,a,8
295,a,48
296,a,4
297,a,4
298,a,32
299,a,3
300,a,48
301,a,4
302,a,4
303,a,32
304,a,4
305,a,32
306,a,208
307,a,208
308,a,48
309,a,9
310,a,9
311,a,32
312,a,7
313,a,48
314,a,7
315,a,7
316,a,32
317,a,10
318,a,48
319,a,9
320,a,9
321,a,32
322,a,24
323,a,2
324,f,8
325,f,2
326,a,48
327,a,5
328,a,5
329,a,32
330,a,5
331,a,48
332,a,7
333,a,7
334,a,32
335,a,2
336,a,48
337,a,7
338,a,7
339,a,32
340,a,2
341,a,8
342,a,48
343,a,5
344,a,5
345,a,32
346,a,8
347,f,8
348,a,48
349,a,13
350,a,13
351,a,32
352,a,17
353,a,48
354,a,14
355,a,14
356,a,32
357,a,32
358,a,32
359,a,32
360,a,2
361,a,32
362,a,2
363,a,32
364,a,2
365,a,32
366,a,2
367,a,32
368,a,8
369,a,32
370,a,24
371,a,48
372,a,4
373,a,4
374,a,32
375,a,8
376,a,48
377,a,5
378,a,5
379,a,32
380,a,8
381,a,48
382,a,8
383,a,8
384,a,32
385,a,48
386,a,13
387,a,13
388,a,32
389,a,48
390,a,14
391,a,14
392,a,32
393,a,48
394,a,7
395,a,7
396,a,32
397,a,48
398,a,7
399,a,7
400,a,32
401,a,48
402,a,8
403,a,8
404,a,32
405,a,48
406,a,8
407,a,8
408,a,32
409,a,48
410,a,16
411,a,16
412,a,32
413,a,48
414,a,9
415,a,9
416,a,32
417,a,32
418,a,32
419,a,48
420,a,7
421,a,7
422,a,32
423,a,32
424,a,32
425,a,48
426,a,10
427,a,10
428,a,32
429,a,32
430,a,32
431,a,48
432,a,10
433,a,10
434,a,32
435,a,32
436,a,32
437,a,48
438,a,12
439,a,12
440,a,32
441,a,32
442,a,32
443,a,48
444,a,12
445,a,12
446,a,32
447,a,32
448,a,32
449,a,48
450,a,10
451,a,10
452,a,32
453,a,16
454,a,512
455,a,48
456,a,13
457,a,13
458,a,32
459,a,16
460,a,512
461,a,48
462,a,9
463,a,9
464,a,32
465,a,32
466,a,32
467,a,42
468,a,48
469,a,10
470,a,10
471,a,32
472,a,41
473,f,42
474,a,97
475,a,48
476,a,9
477,a,9
478,a,32
479,a,96
480,f,97
