time,op,size
0,a,80
1,a,64
2,a,48
3,a,48
4,a,56
5,a,64
6,a,72
7,a,80
8,a,72
9,a,56
10,a,64
11,a,48
12,a,48
13,a,48
14,a,56
15,a,48
16,a,48
17,a,80
18,a,56
19,a,64
20,a,80
21,a,48
22,a,48
23,a,80
24,a,72
25,a,64
26,a,80
27,a,80
28,a,72
29,a,48
30,a,48
31,a,72
32,a,72
33,a,64
34,a,64
35,a,56
36,a,64
37,a,56
38,a,80
39,a,80
40,a,56
41,a,56
42,a,72
43,a,48
44,a,56
45,a,56
46,a,64
47,a,56
48,a,72
49,a,56
50,a,80
51,a,64
52,a,72
53,a,64
54,a,72
55,a,56
56,a,72
57,a,48
58,a,56
59,a,48
60,a,64
61,a,56
62,a,80
63,a,80
64,a,80
65,a,56
66,a,64
67,a,56
68,a,64
69,a,48
70,a,56
71,a,56
72,a,72
73,a,48
74,a,56
75,a,72
76,a,48
77,a,80
78,a,64
79,a,64
80,a,80
81,a,48
82,a,64
83,a,72
84,a,56
85,a,48
86,a,48
87,a,48
88,a,72
89,a,56
90,a,72
91,a,64
92,a,64
93,a,48
94,a,48
95,a,56
96,a,72
97,a,72
98,a,48
99,a,56
100,a,72
101,a,72
102,a,80
103,a,64
104,a,56
105,a,80
106,a,80
107,a,56
108,a,56
109,a,56
110,a,80
111,a,56
112,a,72
113,a,80
114,a,64
115,a,56
116,a,64
117,a,64
118,a,80
119,a,80
120,a,48
121,a,56
122,a,64
123,a,80
124,a,72
125,a,48
126,a,80
127,a,56
128,a,72
129,a,48
130,a,72
131,a,48
132,a,56
133,a,56
134,a,56
135,a,72
136,a,64
137,a,56
138,a,48
139,a,48
140,a,72
141,a,64
142,a,56
143,a,72
144,a,72
145,a,56
146,a,72
147,a,56
148,a,72
149,a,72
150,a,72
151,a,72
152,a,64
153,a,56
154,a,56
155,a,72
156,a,64
157,a,48
158,a,56
159,a,80
160,a,64
161,a,80
162,a,72
163,a,56
164,a,48
165,a,80
166,a,64
167,a,72
168,a,56
169,a,64
170,a,56
171,a,80
172,a,72
173,a,72
174,a,64
175,a,72
176,a,80
177,a,48
178,a,64
179,a,48
180,a,80
181,a,48
182,a,72
183,a,80
184,a,48
185,a,56
186,a,72
187,a,80
188,a,80
189,a,56
190,a,48
191,a,80
192,a,80
193,a,80
194,a,80
195,a,56
196,a,64
197,a,80
198,a,64
199,a,80
200,a,48
201,a,72
202,a,72
203,a,72
204,a,48
205,a,48
206,a,64
207,a,72
208,a,72
209,a,64
210,a,56
211,a,56
212,a,48
213,a,80
214,a,72
215,a,48
216,a,48
217,a,72
218,a,56
219,a,48
220,a,72
221,a,48
222,a,48
223,a,80
224,a,48
225,a,72
226,a,56
227,a,72
228,a,80
229,a,80
230,a,64
231,a,72
232,a,64
233,a,80
234,a,64
235,a,80
236,a,64
237,a,56
238,a,80
239,a,64
240,a,64
241,a,72
242,a,72
243,a,48
244,a,80
245,a,80
246,a,80
247,a,72
248,a,48
249,a,72
