time,op,size
0,a,2
1,a,2
2,a,28
3,a,464
4,a,28
5,a,464
6,a,32
7,a,12
8,a,12
9,a,12
10,a,12
11,a,12
12,a,12
13,a,12
14,a,12
15,a,12
16,a,12
17,a,12
18,a,12
19,a,12
20,a,12
21,a,12
22,a,12
23,a,12
24,a,12
25,a,12
26,a,12
27,a,12
28,a,12
29,a,12
30,a,12
31,a,12
32,a,12
33,a,12
34,a,12
35,a,12
36,a,12
37,a,12
38,a,12
39,a,12
40,a,12
41,a,12
42,a,12
43,a,12
44,a,12
45,a,12
46,a,12
47,a,12
48,a,12
49,a,12
50,a,12
51,a,12
52,a,12
53,a,12
54,a,12
55,a,12
56,a,12
57,a,12
58,a,12
59,a,12
60,a,12
61,a,12
62,a,12
63,a,12
64,a,12
65,a,12
66,a,12
67,a,12
68,a,12
69,a,12
70,a,12
71,a,10
72,a,32
73,a,364
74,a,4
75,f,364
76,a,72
77,a,4
78,a,2
79,r,8
80,a,5
81,a,29
82,a,38
83,r,12
84,a,38
85,f,38
86,r,16
87,a,27
88,r,20
89,a,27
90,r,24
91,f,72
92,a,24
93,r,51
94,a,8
95,a,116
96,a,27
97,a,16384
98,a,7080
99,a,364
100,a,88
101,a,27
102,a,12
103,a,12
104,a,65536
105,a,27
106,a,80
107,a,15
108,a,15
109,r,37
110,r,70
111,a,12
112,r,120
113,a,15
114,a,15
115,r,60
116,a,12
117,a,12
118,a,12
119,a,12
120,a,12
121,a,12
122,a,12
123,a,12
124,a,12
125,a,12
126,a,12
127,a,12
128,a,12
129,a,12
130,a,12
131,a,12
132,a,12
133,a,12
134,a,12
135,a,12
136,a,12
137,a,12
138,a,12
139,a,12
140,a,12
141,a,12
142,a,12
143,a,12
144,a,12
145,a,12
146,a,12
147,a,12
148,a,12
149,a,12
150,a,12
151,a,12
152,a,12
153,a,12
154,a,12
155,a,12
156,a,12
157,a,12
158,a,12
159,a,12
160,a,12
161,a,12
162,a,12
163,a,12
164,a,12
165,a,12
166,a,12
167,a,12
168,a,12
169,a,12
170,a,12
171,a,12
172,a,12
173,a,12
174,a,12
175,a,12
176,a,12
177,a,12
178,a,12
179,a,12
180,a,12
181,a,12
182,a,12
183,a,12
184,a,12
185,a,12
186,a,12
187,a,12
188,a,12
189,a,12
190,a,12
191,a,12
192,a,12
193,a,12
194,a,12
195,a,12
196,a,12
197,a,12
198,a,12
199,a,12
200,a,12
201,a,12
202,a,12
203,a,12
204,a,12
205,a,12
206,a,12
207,a,12
208,a,12
209,a,12
210,a,12
211,a,12
212,a,12
213,a,12
214,a,12
215,a,12
216,a,12
217,a,12
218,a,12
219,a,12
220,a,12
221,a,12
222,a,12
223,a,12
224,a,12
225,a,12
226,a,12
227,a,12
228,a,12
229,a,12
230,a,12
231,a,12
232,a,12
233,a,12
234,a,12
235,a,12
236,a,12
237,a,12
238,a,12
239,a,12
240,a,12
241,a,12
242,a,12
243,a,12
244,a,12
245,a,12
246,a,12
247,a,12
248,a,12
249,a,12
250,a,12
251,a,12
252,a,12
253,a,12
254,a,12
255,a,12
256,a,12
257,a,12
258,a,12
259,a,12
260,a,12
261,a,12
262,a,12
263,a,12
264,a,12
265,a,12
266,a,12
267,a,12
268,a,12
269,a,12
270,a,12
271,a,12
272,a,12
273,a,12
274,a,12
275,a,12
276,a,12
277,a,12
278,a,12
279,a,12
280,a,12
281,a,12
282,a,12
283,a,12
284,a,12
285,a,12
286,a,12
287,a,12
288,a,12
289,a,12
290,a,12
291,a,12
292,a,12
293,a,12
294,a,12
295,a,12
296,a,12
297,a,12
298,a,12
299,a,12
300,a,12
301,a,12
302,a,12
303,a,12
304,a,12
305,a,12
306,a,12
307,a,12
308,a,12
309,a,12
310,a,12
311,a,12
312,a,12
313,a,12
314,a,12
315,a,12
316,a,12
317,a,12
318,a,12
319,a,12
320,a,12
321,a,12
322,a,12
323,a,12
324,a,12
325,a,12
326,a,26
327,a,12
328,a,12
329,a,12
330,a,12
331,a,12
332,a,12
333,a,12
334,a,12
335,a,12
336,a,12
337,a,12
338,a,12
339,a,12
340,a,12
341,a,12
342,a,12
343,a,12
344,a,12
345,a,12
346,a,12
347,a,12
348,a,12
349,a,12
350,a,12
351,a,12
352,a,12
353,a,12
354,a,12
355,a,12
356,a,12
357,a,12
358,a,12
359,a,12
360,a,12
361,a,12
362,a,12
363,a,12
364,a,12
365,a,12
366,a,12
