time,op,size
0,a,1320
1,a,15
2,a,39
3,a,6
4,a,18
5,a,1320
6,a,3
7,a,1320
8,a,15
9,a,39
10,a,6
11,a,18
12,a,9
13,a,26
14,a,1320
15,a,3
16,a,1320
17,a,15
18,a,17
19,a,6
20,a,18
21,a,9
22,a,27
23,a,11
24,a,26
25,a,6
26,a,22
27,a,7
28,a,17
29,a,1320
30,a,3
31,a,1320
32,a,15
33,a,17
34,a,6
35,a,18
36,a,6
37,a,21
38,a,9
39,a,15
40,a,11
41,a,11
42,a,1320
43,a,3
44,a,1320
45,a,7
46,a,24
47,a,6
48,a,18
49,a,5
50,a,10
51,a,5
52,a,20
53,a,7
54,a,18
55,a,10
56,a,25
57,a,4
58,a,33
59,a,4
60,a,28
61,a,1320
62,a,3
63,a,1320
64,a,8
65,a,25
66,a,6
67,a,18
68,a,6
69,a,14
70,a,4
71,a,22
72,a,4
73,a,17
74,a,1320
75,a,3
76,a,1320
77,a,9
78,a,29
79,a,6
80,a,18
81,a,6
82,a,14
83,a,1320
84,a,8
85,a,25
86,a,6
87,a,18
88,a,9
89,a,31
90,a,7
91,a,36
92,a,7
93,a,29
94,a,4
95,a,22
96,a,4
97,a,17
98,a,1320
99,a,3
100,a,1320
101,a,6
102,a,22
103,a,6
104,a,18
105,a,6
106,a,14
107,a,1320
108,a,11
109,a,31
110,a,6
111,a,18
112,a,6
113,a,14
114,a,1320
115,a,7
116,a,18
117,a,6
118,a,18
119,a,6
120,a,14
121,a,5
122,a,29
123,a,12
124,a,16
125,a,1320
126,a,3
127,a,1320
128,a,9
129,a,31
130,a,6
131,a,18
132,a,6
133,a,24
134,a,1320
135,a,8
136,a,22
137,a,6
138,a,18
139,a,6
140,a,14
141,a,1320
142,a,3
143,a,1320
144,a,8
145,a,1320
146,a,10
147,a,18
148,a,6
149,a,18
150,a,6
151,a,14
152,a,1320
153,a,3
154,a,1320
155,a,9
156,a,29
157,a,6
158,a,18
159,a,6
160,a,14
161,a,1320
162,a,3
163,a,1320
164,a,6
165,a,24
166,a,6
167,a,18
168,a,6
169,a,14
170,a,1320
171,a,8
172,a,17
173,a,6
174,a,18
175,a,5
176,a,10
177,a,1320
178,a,8
179,a,17
180,a,6
181,a,18
182,a,5
183,a,10
184,a,5
185,a,12
186,a,6
187,a,10
188,a,4
189,a,17
190,a,6
191,a,27
192,a,1320
193,a,8
194,a,19
195,a,6
196,a,18
197,a,5
198,a,10
199,a,1320
200,a,13
201,a,27
202,a,6
203,a,18
204,a,6
205,a,14
206,a,5
207,a,16
208,a,6
209,a,23
210,a,10
211,a,23
212,a,1320
213,a,13
214,a,29
215,a,6
216,a,18
217,a,1320
218,a,13
219,a,1320
220,a,13
221,a,15
222,a,6
223,a,18
224,a,8
225,a,36
226,a,1320
227,a,10
228,a,7
229,a,30
230,a,1320
231,a,14
232,a,21
233,a,6
234,a,18
235,a,1320
236,a,10
237,a,22
238,a,6
239,a,18
240,a,9
241,a,15
242,a,1320
243,a,12
244,a,29
245,a,6
246,a,18
247,a,1320
248,a,9
249,a,17
250,a,6
251,a,18
252,a,6
253,a,14
254,a,5
255,a,20
256,a,1320
257,a,3
258,a,1320
259,a,8
260,a,19
261,a,6
262,a,18
263,a,6
264,a,10
265,a,9
266,a,16
267,a,12
268,a,17
269,a,1320
270,a,9
271,a,25
272,a,6
273,a,18
274,a,7
275,a,11
276,a,6
277,a,18
278,a,1320
279,a,10
280,a,17
281,a,6
282,a,18
283,a,6
284,a,14
285,a,1320
286,a,8
287,a,21
288,a,6
289,a,18
290,a,6
291,a,14
292,a,1320
293,a,7
294,a,24
295,a,6
296,a,18
297,a,1320
298,a,8
299,a,6
300,a,18
301,a,8
302,a,19
303,a,1320
304,a,8
305,a,1320
306,a,14
307,a,16
308,a,6
309,a,18
310,a,6
311,a,10
312,a,1320
313,a,8
314,a,16
315,a,6
316,a,18
317,a,6
318,a,10
319,a,6
320,a,22
321,a,8
322,a,25
323,a,1320
324,a,12
325,a,25
326,a,6
327,a,18
328,a,6
329,a,14
330,a,1320
331,a,8
332,a,34
333,a,6
334,a,18
335,a,8
336,a,12
337,a,1320
338,a,10
339,a,34
340,a,6
341,a,18
342,a,6
343,a,14
344,a,7
345,a,33
346,a,9
347,a,41
348,a,10
349,a,42
350,a,11
351,a,51
352,a,1320
353,a,12
354,a,33
355,a,6
356,a,18
357,a,8
358,a,31
359,a,7
360,a,19
361,a,10
362,a,17
363,a,9
364,a,12
365,a,1320
366,a,3
367,a,1320
368,a,9
369,a,34
370,a,6
371,a,18
372,a,7
373,a,10
374,a,1320
375,a,9
376,a,34
377,a,6
378,a,18
379,a,1320
380,a,11
381,a,33
382,a,6
383,a,18
384,a,8
385,a,16
386,a,9
387,a,17
388,a,7
389,a,15
390,a,1320
391,a,11
392,a,30
393,a,6
394,a,18
395,a,8
396,a,16
397,a,9
398,a,17
399,a,7
400,a,15
401,a,1320
402,a,5
403,a,21
404,a,6
405,a,18
406,a,7
407,a,12
408,a,7
409,a,1320
410,a,8
411,a,20
412,a,6
413,a,18
414,a,7
415,a,12
416,a,364
417,f,364
418,a,364
419,f,364
