time,op,size
0,a,91
1,a,32
2,a,8176
3,a,2048
4,a,20
5,a,8
6,a,364
7,f,364
8,a,6
9,a,364
10,f,364
11,a,1740
12,f,1740
13,a,12
14,a,568
15,a,1024
16,a,24
17,a,24
18,a,24
19,a,48
20,a,24
21,a,24
22,a,24
23,a,24
24,a,24
25,a,24
26,a,24
27,a,24
28,a,48
29,a,36
30,a,24
31,a,24
32,a,24
33,a,36
34,a,24
35,a,24
36,a,24
37,a,24
38,a,24
39,a,36
40,a,48
41,a,36
42,a,24
43,a,24
44,a,24
45,a,48
46,a,24
47,a,24
48,a,24
49,a,24
50,a,48
51,a,24
52,a,24
53,a,24
54,a,12
55,a,56
56,a,24
57,a,8
58,a,2128
59,a,16
60,a,8
61,a,364
62,f,364
63,a,364
64,a,13
65,f,364
66,f,13
67,a,320
68,a,364
69,a,14
70,a,18
71,a,2
72,a,13
73,a,11
74,a,2
75,a,34
76,a,36
77,a,18
78,a,18
79,a,2
80,f,364
81,a,55
82,a,49
83,a,416
84,a,61
85,a,49
86,a,72
87,a,64
88,f,55
89,a,12
90,a,96
91,a,84
92,a,2
93,a,48
94,a,17
95,a,10
96,a,8
97,a,32
98,a,48
99,a,17
100,a,10
101,a,8
102,a,32
103,a,48
104,a,17
105,a,10
106,a,8
107,a,32
108,a,48
109,a,17
110,a,10
111,a,8
112,a,32
113,a,48
114,a,17
115,a,10
116,a,8
117,a,32
118,a,48
119,a,17
120,a,10
121,a,8
122,a,32
123,a,48
124,a,17
125,a,10
126,a,8
127,a,32
128,a,48
129,a,17
130,a,10
131,a,8
132,a,32
133,a,48
134,a,17
135,a,10
136,a,8
137,a,32
138,a,48
139,a,17
140,a,10
141,a,8
142,a,32
143,a,48
144,a,18
145,a,11
146,a,8
147,a,32
148,a,48
149,a,18
150,a,11
151,a,8
152,a,32
153,a,48
154,a,18
155,a,11
156,a,8
157,a,32
158,a,48
159,a,18
160,a,11
161,a,8
162,a,32
163,a,48
164,a,18
165,a,11
166,a,8
167,a,32
168,a,48
169,a,18
170,a,11
171,a,8
172,a,32
173,a,48
174,a,23
175,a,16
176,a,8
177,a,32
178,a,48
179,a,23
180,a,16
181,a,8
182,a,32
183,a,48
184,a,22
185,a,14
186,a,8
187,a,33
188,a,48
189,a,22
190,a,14
191,a,8
192,a,33
193,a,48
194,a,24
195,a,16
196,a,8
197,a,33
198,a,48
199,a,24
200,a,16
201,a,8
202,a,33
203,a,48
204,a,24
205,a,16
206,a,8
207,a,33
208,f,33
209,a,48
210,a,24
211,a,16
212,a,8
213,a,33
214,f,33
215,a,48
216,a,24
217,a,16
218,a,8
219,a,33
220,a,48
221,a,24
222,a,16
223,a,8
224,a,33
225,a,48
226,a,23
227,a,15
228,a,8
229,a,33
230,a,48
231,a,23
232,a,15
233,a,8
234,a,33
235,a,48
236,a,24
237,a,16
238,a,8
239,a,33
240,a,48
241,a,24
242,a,16
243,a,8
244,a,33
245,a,48
246,a,24
247,a,16
248,a,8
249,a,33
250,a,48
251,a,24
252,a,16
253,a,8
254,a,33
255,a,48
256,a,24
257,a,16
258,a,8
259,a,33
260,a,48
261,a,24
262,a,16
263,a,8
264,a,33
265,a,48
266,a,24
267,a,16
268,a,8
269,a,33
270,a,48
271,a,24
272,a,16
273,a,8
274,a,33
275,a,48
276,a,24
277,a,16
278,a,8
279,a,33
280,a,48
281,a,24
282,a,16
283,a,8
284,a,33
285,a,48
286,a,24
287,a,16
288,a,8
289,a,33
290,a,48
291,a,24
292,a,16
293,a,8
294,a,33
295,a,48
296,a,24
297,a,16
298,a,8
299,a,33
300,a,48
301,a,24
302,a,16
303,a,8
304,a,33
305,a,48
306,a,15
307,a,8
308,a,32
309,a,33
310,a,11
311,a,33
312,a,11
313,a,48
314,a,17
315,a,7
316,a,8
317,a,33
318,a,7
319,a,48
320,a,16
321,a,8
322,a,8
323,a,33
324,a,48
325,a,16
326,a,8
327,a,8
328,a,33
329,a,48
330,a,16
331,a,8
332,a,8
333,a,33
334,a,48
335,a,16
336,a,8
337,a,8
338,a,33
339,a,32
340,a,32
341,a,32
342,a,32
343,a,364
344,f,364
345,a,2
346,a,364
347,a,13
348,f,364
349,a,39
350,f,13
351,a,364
352,a,2048
353,a,2048
354,a,12
355,a,4
356,a,8
357,a,5
358,a,8
359,a,13
360,a,20
361,a,12
362,a,17
363,f,5
364,a,5
365,f,8
366,a,8
367,a,8
368,a,13
369,a,20
370,a,12
371,a,17
372,f,8
373,a,16
374,a,8
375,a,4
376,a,20
377,a,12
378,a,25
379,f,16
380,f,5
381,f,12
382,f,4
383,a,12
384,a,14
385,a,8
386,a,7
387,a,20
388,a,12
389,a,14
390,f,14
391,a,11
392,a,8
393,a,2
394,a,20
395,a,12
396,a,11
397,f,11
398,a,22
399,a,8
400,a,6
401,a,20
402,a,12
403,a,22
404,f,22
405,a,17
406,a,8
407,a,11
408,a,20
409,a,12
410,a,17
411,f,17
412,a,14
413,a,8
414,a,2
415,a,20
416,a,12
417,a,14
418,f,14
419,a,13
420,a,8
421,a,5
422,a,20
423,a,12
424,a,13
425,f,13
426,a,20
427,a,8
428,a,5
429,a,20
430,a,12
431,a,20
432,f,20
433,a,4
434,a,5
435,a,8
436,a,11
437,a,20
438,a,12
439,a,9
440,f,5
441,a,7
442,a,8
443,a,2
444,a,20
445,a,12
446,a,11
447,f,7
448,a,12
449,a,8
450,a,11
451,a,20
452,a,12
453,a,16
454,f,12
455,a,12
456,a,8
457,a,13
458,a,20
459,a,12
460,a,16
461,f,12
462,a,4
463,f,4
464,a,5
465,a,8
466,a,11
467,a,20
468,a,12
469,a,9
470,f,5
471,a,7
472,a,8
473,a,2
474,a,20
475,a,12
476,a,11
477,f,7
478,a,12
479,a,8
480,a,11
481,a,20
482,a,12
483,a,16
484,f,12
485,a,12
486,a,8
487,a,13
488,a,20
489,a,12
490,a,16
491,f,12
492,f,12
493,f,4
494,f,364
495,f,2048
496,a,304
497,a,20
498,f,39
499,a,7
500,a,48
501,a,4
502,a,4
503,a,48
504,r,8
505,a,4
506,a,32
507,a,32
508,a,32
509,a,32
510,a,32
511,a,32
512,a,32
