time,op,size
0,a,512
1,a,136
2,a,8
3,a,8
4,a,8
5,a,8
6,a,8
7,a,136
8,a,54
9,a,136
10,a,136
11,a,512
12,a,512
13,f,8
14,a,54
15,a,136
16,f,54
17,a,8
18,f,512
19,a,8
20,a,136
21,f,136
22,a,54
23,a,512
24,f,8
25,a,512
26,a,512
27,f,136
28,a,512
29,f,136
30,f,512
31,f,8
32,a,54
33,a,54
34,f,8
35,f,512
36,f,54
37,f,512
38,a,8
39,a,8
40,a,136
41,a,136
42,a,8
43,a,512
44,f,54
45,a,54
46,f,136
47,a,512
48,a,512
49,f,512
50,f,136
51,f,512
52,a,136
53,a,54
54,f,8
55,a,512
56,f,136
57,f,136
58,a,136
59,f,136
60,a,54
61,f,54
62,a,512
63,f,54
64,a,54
65,f,8
66,a,512
67,f,512
68,a,8
69,f,54
70,a,136
71,a,54
72,a,136
73,f,54
74,a,512
75,f,8
76,a,54
77,f,8
78,a,136
79,a,512
80,f,512
81,a,512
82,f,8
83,a,136
84,f,136
85,a,136
86,f,54
87,f,512
88,f,136
89,a,8
90,f,136
91,f,512
92,f,54
93,a,512
94,f,136
95,a,136
96,a,8
97,f,8
98,a,54
99,a,8
100,a,8
101,a,54
102,f,8
103,f,512
104,f,8
105,a,136
106,f,54
107,a,8
108,f,54
109,a,136
110,a,54
111,f,136
112,a,8
113,a,8
114,a,8
115,f,8
116,a,512
117,f,512
118,a,8
119,f,512
120,a,512
121,a,54
122,f,512
123,f,136
124,f,136
125,a,512
126,f,136
127,f,512
128,a,136
129,f,136
130,a,54
131,f,8
132,a,136
133,a,136
134,f,8
135,f,136
136,a,54
137,f,512
138,f,54
139,f,8
140,a,136
141,a,8
142,f,136
143,a,8
144,a,8
145,a,54
146,a,136
147,a,512
148,a,136
149,a,54
150,f,512
151,f,54
152,a,512
153,a,54
154,f,136
155,f,8
156,f,8
157,f,512
158,a,512
159,a,8
160,a,8
161,a,136
162,a,512
163,f,512
164,a,512
165,a,136
166,f,8
167,a,136
168,f,136
169,a,512
170,f,512
171,f,8
172,f,136
173,f,136
174,a,136
175,f,512
176,f,136
177,f,8
178,a,8
179,f,136
180,f,512
181,a,512
182,a,136
183,f,8
184,a,136
185,f,512
186,a,8
187,a,136
188,f,54
189,a,512
190,f,8
191,f,136
192,a,54
193,f,512
194,f,54
195,f,8
196,f,8
197,a,54
198,a,8
199,f,54
200,a,512
