time,op,size
0,r,16
1,a,364
2,r,800
3,r,1024
4,r,2048
5,f,364
6,a,40
7,f,40
8,a,40
9,a,32
10,a,37
11,a,28
12,a,92
13,a,6
14,a,6
15,a,37
16,f,37
17,a,37
18,a,32
19,a,34
20,a,28
21,a,36
22,a,6
23,a,6
24,a,35
25,f,35
26,a,35
27,a,32
28,a,32
29,a,28
30,a,48
31,a,6
32,a,6
33,a,33
34,f,33
35,a,33
36,a,32
37,a,30
38,a,28
39,a,80
40,a,6
41,a,6
42,a,30
43,f,30
44,a,30
45,a,32
46,a,27
47,a,28
48,a,56
49,a,6
50,a,6
51,a,31
52,f,31
53,a,31
54,a,32
55,a,28
56,a,28
57,a,40
58,a,6
59,a,6
60,a,34
61,f,34
62,a,34
63,a,32
64,a,31
65,a,28
66,a,48
67,a,6
68,a,6
69,a,34
70,f,34
71,a,34
72,a,32
73,a,31
74,a,28
75,a,212
76,a,6
77,a,6
78,a,33
79,f,33
80,a,33
81,a,32
82,a,30
83,a,28
84,a,104
85,a,6
86,a,6
87,a,30
88,f,30
89,a,30
90,a,32
91,a,27
92,a,28
93,a,472
94,a,6
95,a,6
96,a,33
97,f,33
98,a,33
99,a,32
100,a,30
101,a,28
102,a,52
103,a,6
104,a,6
105,a,31
106,f,31
107,a,31
108,a,32
109,a,28
110,a,28
111,a,380
112,a,6
113,a,6
114,a,6
115,f,16
116,a,22
117,a,10
118,a,364
119,a,46
120,a,13
121,a,94
122,a,16
123,a,15
124,a,14
125,a,840
126,a,10
127,a,10
128,a,10
129,a,10
130,a,10
131,a,13
132,a,12
133,a,13
134,a,17
135,a,17
136,a,17
137,a,17
138,a,17
139,a,15
140,a,15
141,a,15
142,a,15
143,a,15
144,a,17
145,a,17
146,a,17
147,a,13
148,a,15
149,a,13
150,a,13
151,a,15
152,a,15
153,a,15
154,a,20
155,a,22
156,a,13
157,a,22
158,a,16
159,a,15
160,a,15
161,a,13
162,a,17
163,a,16
164,a,15
165,a,16
166,a,32
167,a,15
168,a,15
169,a,15
170,a,15
171,a,17
172,a,17
173,a,17
174,a,17
175,a,17
176,a,16
177,a,16
178,a,16
179,a,15
180,a,20
181,a,16
182,a,15
183,a,15
184,a,20
185,a,15
186,a,13
187,a,16
188,a,16
189,a,19
190,a,16
191,a,15
192,a,14
193,a,14
194,a,17
195,a,13
196,a,16
197,a,14
198,a,14
199,a,13
200,a,29
201,a,29
202,a,17
203,a,15
204,a,16
205,a,23
206,a,18
207,a,18
208,a,18
209,f,364
210,f,13
211,f,14
212,a,13
213,f,13
214,a,13
215,f,13
216,a,772
217,f,16
218,f,15
219,f,10
220,f,10
221,f,10
222,f,10
223,f,10
224,f,13
225,f,12
226,f,13
227,f,17
228,f,17
229,f,17
230,f,17
231,f,17
232,f,15
233,f,15
234,f,15
235,f,15
236,f,15
237,f,17
238,f,17
239,f,17
240,f,13
241,f,15
242,f,13
243,f,13
244,f,15
245,f,15
246,f,15
247,f,20
248,f,22
249,f,13
250,f,22
251,f,16
252,f,15
253,f,15
254,f,13
255,f,17
256,f,16
257,f,15
258,f,16
259,f,32
260,f,15
261,f,15
262,f,15
263,f,15
264,f,17
265,f,17
266,f,17
267,f,17
268,f,17
269,f,16
270,f,16
271,f,16
272,f,15
273,f,20
274,f,16
275,f,15
276,f,15
277,f,20
278,f,15
279,f,13
280,f,16
281,f,16
282,f,19
283,f,16
284,f,15
285,f,14
286,f,14
287,f,17
288,f,13
289,f,16
290,f,14
291,f,14
292,f,13
293,f,29
294,f,29
295,f,17
296,f,15
297,f,16
298,f,23
299,f,18
300,f,18
301,f,18
302,a,6
303,a,36
304,a,36
305,a,441
306,a,20
307,a,20
308,a,20
309,a,20
310,a,20
311,a,20
312,a,20
313,a,20
314,a,20
315,a,20
316,a,20
317,a,20
318,a,20
319,a,20
320,a,20
321,a,20
322,a,20
323,a,20
324,a,20
325,a,20
326,a,20
327,a,20
328,a,20
329,a,20
330,a,20
331,a,20
332,a,20
333,a,20
334,a,11600
335,a,12
336,a,2
337,a,4144
338,a,20
339,a,5
340,a,19
341,a,14
342,f,4144
343,a,312
344,a,4
345,a,8
346,a,12
347,a,16
348,a,20
349,a,24
350,a,28
351,a,32
352,a,36
353,a,40
354,a,44
355,a,48
356,a,52
357,a,56
358,a,60
359,a,64
360,a,68
361,a,72
362,a,76
363,a,80
364,a,84
365,a,88
366,a,92
367,a,96
368,a,100
369,a,104
370,f,2
371,f,12
