time,op,size
0,a,536
1,a,184
2,a,712
3,a,304
4,a,464
5,a,328
6,a,744
7,a,352
8,a,616
9,a,104
10,f,744
11,f,712
12,f,616
13,f,104
14,f,328
15,f,536
16,f,464
17,f,352
18,f,304
19,f,184
20,a,504
21,a,472
22,a,48
23,a,544
24,a,424
25,a,784
26,a,800
27,a,1000
28,a,296
29,a,896
30,f,424
31,f,896
32,f,504
33,f,544
34,f,472
35,f,784
36,f,1000
37,f,48
38,f,296
39,f,800
40,a,184
41,a,144
42,a,960
43,a,8
44,a,472
45,a,432
46,a,968
47,a,120
48,a,152
49,a,648
50,f,184
51,f,144
52,f,648
53,f,960
54,f,152
55,f,8
56,f,120
57,f,432
58,f,472
59,f,968
60,a,648
61,a,56
62,a,680
63,a,824
64,a,840
65,a,336
66,a,112
67,a,72
68,a,120
69,a,88
70,f,840
71,f,112
72,f,824
73,f,120
74,f,88
75,f,72
76,f,680
77,f,336
78,f,648
79,f,56
80,a,328
81,a,224
82,a,824
83,a,424
84,a,568
85,a,984
86,a,376
87,a,392
88,a,320
89,a,320
90,f,328
91,f,568
92,f,376
93,f,392
94,f,824
95,f,320
96,f,320
97,f,224
98,f,424
99,f,984
100,a,296
101,a,664
102,a,608
103,a,1024
104,a,784
105,a,800
106,a,744
107,a,880
108,a,256
109,a,440
110,f,744
111,f,608
112,f,880
113,f,296
114,f,800
115,f,784
116,f,440
117,f,1024
118,f,664
119,f,256
120,a,696
121,a,176
122,a,832
123,a,880
124,a,960
125,a,384
126,a,232
127,a,896
128,a,864
129,a,48
130,f,696
131,f,232
132,f,880
133,f,176
134,f,48
135,f,384
136,f,960
137,f,832
138,f,864
139,f,896
140,a,232
141,a,408
142,a,712
143,a,8
144,a,688
145,a,1000
146,a,64
147,a,560
148,a,784
149,a,624
150,f,64
151,f,8
152,f,784
153,f,232
154,f,560
155,f,408
156,f,712
157,f,688
158,f,1000
159,f,624
160,a,960
161,a,920
162,a,896
163,a,360
164,a,328
165,a,768
166,a,616
167,a,880
168,a,976
169,a,584
170,f,896
171,f,920
172,f,976
173,f,960
174,f,328
175,f,360
176,f,584
177,f,880
178,f,616
179,f,768
180,a,288
181,a,264
182,a,944
183,a,288
184,a,712
185,a,472
186,a,912
187,a,672
188,a,456
189,a,240
190,f,264
191,f,472
192,f,240
193,f,288
194,f,288
195,f,712
196,f,456
197,f,944
198,f,672
199,f,912
200,a,888
