time,op,size
0,r,16
1,a,364
2,r,800
3,r,1024
4,r,2048
5,f,364
6,a,31
7,f,31
8,a,31
9,a,32
10,a,28
11,a,28
12,a,380
13,a,6
14,a,6
15,a,165
16,f,16
17,a,24
18,a,2
19,a,24
20,a,2
21,a,24
22,a,2
23,a,24
24,a,2
25,a,24
26,a,2
27,a,24
28,a,2
29,a,24
30,a,2
31,a,24
32,a,2
33,a,24
34,a,4
35,a,24
36,a,2
37,a,24
38,a,2
39,a,24
40,a,2
41,a,24
42,a,2
43,a,24
44,a,2
45,a,24
46,a,2
47,a,24
48,a,2
49,a,24
50,a,2
51,a,24
52,a,4
53,a,24
54,a,2
55,a,24
56,a,2
57,a,24
58,a,2
59,a,24
60,a,2
61,a,24
62,a,2
63,a,24
64,a,2
65,a,24
66,a,2
67,a,24
68,a,2
69,a,24
70,a,2
71,a,24
72,a,2
73,a,24
74,a,2
75,a,24
76,a,2
77,a,24
78,a,2
79,a,24
80,a,2
81,a,24
82,a,2
83,a,24
84,a,2
85,a,24
86,a,2
87,a,24
88,a,2
89,a,24
90,a,2
91,a,24
92,a,2
93,a,24
94,a,4
95,a,24
96,a,2
97,a,24
98,a,4
99,a,24
100,a,2
101,a,24
102,a,2
103,a,24
104,a,2
105,a,24
106,a,2
107,a,24
108,a,2
109,a,24
110,a,2
111,a,24
112,a,2
113,a,24
114,a,2
115,a,24
116,a,2
117,a,24
118,a,2
119,a,24
120,a,2
121,a,24
122,a,2
123,a,24
124,a,2
125,a,24
126,a,2
127,a,24
128,a,2
129,a,24
130,a,2
131,a,24
132,a,2
133,a,24
134,a,2
135,a,24
136,a,2
137,a,24
138,a,2
139,a,24
140,a,4
141,a,24
142,a,2
143,a,24
144,a,2
145,a,24
146,a,2
147,a,24
148,a,2
149,a,24
150,a,2
151,a,24
152,a,4
153,a,24
154,a,4
155,a,24
156,a,4
157,a,24
158,a,2
159,a,24
160,a,4
161,a,24
162,a,4
163,a,24
164,a,2
165,a,24
166,a,2
167,a,24
168,a,2
169,a,24
170,a,4
171,a,24
172,a,2
173,a,24
174,a,2
175,a,24
176,a,2
177,a,24
178,a,2
179,a,24
180,a,2
181,a,24
182,a,2
183,a,24
184,a,2
185,a,24
186,a,2
187,a,24
188,a,2
189,a,24
190,a,2
191,a,24
192,a,2
193,a,24
194,a,2
195,a,24
196,a,2
197,a,24
198,a,2
199,a,24
200,a,4
201,a,24
202,a,2
203,a,24
204,a,2
205,a,24
206,a,2
207,a,24
208,a,4
209,a,24
210,a,2
211,a,24
212,a,2
213,a,24
214,a,2
215,a,24
216,a,2
217,a,24
218,a,4
219,a,24
220,a,2
221,a,24
222,a,2
223,a,24
224,a,4
225,a,24
226,a,4
227,a,24
228,a,2
229,a,24
230,a,2
231,a,24
232,a,4
233,a,24
234,a,2
235,a,24
236,a,2
237,a,24
238,a,2
239,a,24
240,a,4
241,a,24
242,a,2
243,a,24
244,a,2
245,a,24
246,a,2
247,a,24
248,a,2
249,a,24
250,a,2
251,a,24
252,a,2
253,a,24
254,a,2
255,a,24
256,a,2
257,a,24
258,a,2
259,a,24
260,a,2
261,a,24
262,a,4
263,a,24
264,a,2
265,a,24
266,a,4
267,a,24
268,a,2
269,a,24
270,a,2
271,a,24
272,a,4
273,a,24
274,a,2
275,a,24
276,a,2
277,a,24
278,a,2
279,a,24
280,a,4
281,a,24
282,a,2
283,a,24
284,a,4
285,a,24
286,a,2
287,a,24
288,a,2
289,a,24
290,a,4
291,a,24
292,a,2
293,a,24
294,a,2
295,a,24
296,a,2
297,a,24
298,a,2
299,a,24
300,a,2
301,a,24
302,a,2
303,a,24
304,a,2
305,a,24
306,a,2
307,a,24
308,a,2
309,a,24
310,a,2
311,a,24
312,a,2
313,a,24
314,a,2
315,a,24
316,a,2
317,a,24
318,a,2
319,a,24
320,a,2
321,a,24
322,a,2
323,a,24
324,a,4
325,a,24
326,a,2
327,a,24
328,a,2
329,a,24
330,a,4
331,a,24
332,a,2
333,a,24
334,a,2
335,a,24
336,a,2
337,a,24
338,a,2
339,a,24
340,a,2
341,a,24
342,a,4
343,a,24
344,a,4
345,a,24
346,a,2
347,a,24
348,a,2
349,a,24
350,a,4
351,a,24
352,a,2
353,a,24
354,a,2
355,a,24
356,a,2
357,a,24
358,a,4
359,a,24
360,a,2
361,a,24
362,a,2
363,a,24
364,a,2
365,a,24
366,a,2
367,a,24
368,a,2
369,a,24
370,a,2
371,a,24
372,a,2
373,a,24
374,a,2
375,a,24
376,a,2
377,a,24
378,a,2
379,a,24
380,a,2
381,a,24
382,a,2
383,a,24
384,a,2
385,a,24
386,a,2
387,a,24
388,a,2
389,a,24
390,a,4
391,a,24
392,a,2
393,a,24
394,a,2
395,a,24
396,a,4
397,a,24
398,a,2
399,a,24
400,a,2
401,a,24
402,a,4
403,a,24
404,a,2
405,a,24
406,a,2
407,a,24
408,a,2
409,a,24
410,a,2
411,a,24
412,a,2
413,a,24
414,a,2
415,a,24
416,a,2
417,a,24
418,a,2
419,a,24
420,a,2
421,a,24
422,a,2
423,a,24
424,a,2
425,a,24
426,a,2
427,a,24
428,a,4
429,a,24
430,a,4
431,a,24
432,a,4
433,a,24
434,a,4
435,a,24
436,a,2
437,a,24
438,a,2
439,a,24
440,a,2
441,a,24
442,a,4
443,a,24
444,a,2
445,a,24
446,a,2
447,a,24
448,a,4
449,a,24
450,a,2
451,a,24
452,a,2
453,a,24
454,a,2
455,a,24
456,a,2
457,a,24
458,a,2
459,a,24
460,a,2
461,a,24
462,a,2
463,a,24
464,a,2
465,a,24
466,a,2
467,a,24
468,a,2
469,a,24
470,a,2
471,a,24
472,a,2
473,a,24
474,a,2
475,a,24
476,a,2
477,a,24
478,a,2
479,a,24
480,a,2
481,a,24
482,a,2
483,a,24
484,a,2
485,a,24
486,a,2
487,a,24
488,a,2
489,a,24
490,a,2
491,a,24
492,a,2
493,a,24
494,a,2
495,a,24
496,a,2
497,a,24
498,a,2
499,a,24
500,a,2
501,a,24
502,a,2
503,a,24
504,a,2
505,a,24
506,a,2
507,a,24
508,a,2
509,a,24
510,a,2
511,a,24
512,a,2
513,a,24
514,a,2
515,a,24
516,a,2
517,a,24
518,a,2
519,a,24
520,a,2
521,a,24
522,a,2
523,a,24
524,a,2
525,a,24
526,a,4
527,a,24
528,a,2
529,a,24
530,a,2
531,a,24
532,a,2
533,a,24
534,a,2
535,a,24
536,a,2
537,a,24
538,a,2
539,a,24
540,a,2
541,a,24
542,a,2
543,a,24
544,a,2
545,a,24
546,a,2
547,a,24
548,a,2
549,a,24
550,a,2
551,a,24
552,a,2
553,a,24
554,a,2
555,a,24
556,a,2
557,a,24
558,a,2
559,a,24
560,a,2
561,a,24
562,a,2
563,a,24
564,a,2
565,a,24
566,a,2
567,a,24
568,a,2
569,a,24
570,a,2
571,a,24
572,a,2
573,a,24
574,a,2
575,a,24
576,a,2
577,a,24
578,a,2
579,a,24
580,a,2
581,a,24
582,a,2
583,a,24
584,a,2
585,a,24
586,a,2
587,a,24
588,a,2
589,a,24
590,a,2
591,a,24
592,a,2
593,a,24
594,a,2
595,a,24
596,a,2
597,a,24
598,a,2
599,a,24
600,a,2
601,a,24
602,a,2
603,a,24
604,a,2
605,a,24
606,a,2
607,a,24
608,a,2
609,a,24
610,a,2
611,a,24
612,a,2
613,a,24
614,a,2
615,a,24
616,a,2
617,a,24
618,a,2
619,a,24
620,a,2
621,a,24
622,a,2
