time,op,size
0,a,512
1,a,16
2,a,1040
3,a,512
4,a,16
5,a,16
6,a,16
7,a,512
8,a,512
9,a,16
10,a,16
11,a,512
12,a,512
13,a,512
14,a,512
15,f,512
16,a,512
17,a,512
18,a,16
19,a,512
20,a,16
21,f,512
22,a,1040
23,a,16
24,f,512
25,a,1040
26,a,16
27,f,512
28,a,1040
29,f,512
30,a,1040
31,a,512
32,a,512
33,a,16
34,a,512
35,a,512
36,a,16
37,f,512
38,a,512
39,a,1040
40,a,1040
41,a,512
42,a,16
43,a,512
44,f,1040
45,f,16
46,a,512
47,f,512
48,f,16
49,f,16
50,a,16
51,a,512
52,f,1040
53,f,16
54,a,1040
55,a,1040
56,f,512
57,f,512
58,a,512
59,a,1040
60,a,1040
61,a,16
62,a,1040
63,f,1040
64,f,16
65,f,16
66,f,512
67,f,512
68,a,512
69,f,512
70,f,512
71,f,512
72,a,1040
73,a,1040
74,a,1040
75,f,16
76,f,16
77,f,16
78,a,512
79,f,1040
80,f,1040
81,f,1040
82,f,512
83,a,512
84,f,16
85,a,1040
86,f,512
87,f,1040
88,a,512
89,a,1040
90,a,512
91,a,512
92,f,512
93,a,512
94,f,512
95,f,16
96,a,512
97,a,512
98,a,512
99,a,1040
100,f,512
101,f,1040
102,a,16
103,a,16
104,a,512
105,f,512
106,f,512
107,a,16
108,f,16
109,a,16
110,a,1040
111,a,16
112,f,1040
113,a,1040
114,a,1040
115,a,512
116,a,16
117,a,1040
118,f,1040
119,a,512
120,a,1040
121,f,512
122,f,1040
123,f,1040
124,f,512
125,a,1040
126,a,512
127,f,16
128,f,16
129,f,16
130,a,512
131,f,512
132,f,512
133,f,16
134,f,16
135,a,1040
136,a,512
137,a,16
138,a,16
139,f,16
140,a,512
141,a,16
142,f,512
143,f,1040
144,f,1040
145,f,512
146,f,512
147,f,1040
148,f,1040
149,a,512
150,f,16
151,a,16
152,a,1040
153,f,512
154,a,1040
155,a,1040
156,f,512
157,a,1040
158,f,1040
159,a,512
160,a,16
161,a,1040
162,f,16
163,a,1040
164,a,1040
165,f,1040
166,f,16
167,f,1040
168,f,1040
169,a,16
170,a,1040
171,f,512
172,f,1040
173,a,16
174,f,1040
175,f,16
176,a,512
177,a,16
178,a,512
179,a,1040
180,a,1040
181,f,16
182,a,1040
183,f,16
184,a,16
185,f,16
186,f,1040
187,a,512
188,a,1040
189,f,512
190,a,1040
191,f,1040
192,a,1040
193,a,512
194,f,16
195,f,512
196,f,16
197,f,16
198,f,1040
199,a,16
200,a,512
