time,op,size
0,a,1
1,a,1008
2,a,1008
3,a,80
4,a,1008
5,a,1
6,a,1008
7,a,2
8,a,1008
9,a,2
10,a,32
11,a,968
12,a,512
13,a,8056
14,a,512
15,a,128
16,a,128
17,a,512
18,a,64
19,r,16
20,a,364
21,r,800
22,r,1024
23,r,2048
24,f,364
25,a,40
26,f,40
27,a,40
28,a,32
29,a,37
30,a,28
31,a,92
32,a,6
33,a,6
34,a,37
35,f,37
36,a,37
37,a,32
38,a,34
39,a,28
40,a,36
41,a,6
42,a,6
43,a,35
44,f,35
45,a,35
46,a,32
47,a,32
48,a,28
49,a,48
50,a,6
51,a,6
52,a,33
53,f,33
54,a,33
55,a,32
56,a,30
57,a,28
58,a,80
59,a,6
60,a,6
61,a,30
62,f,30
63,a,30
64,a,32
65,a,27
66,a,28
67,a,56
68,a,6
69,a,6
70,a,31
71,f,31
72,a,31
73,a,32
74,a,28
75,a,28
76,a,40
77,a,6
78,a,6
79,a,34
80,f,34
81,a,34
82,a,32
83,a,31
84,a,28
85,a,48
86,a,6
87,a,6
88,a,34
89,f,34
90,a,34
91,a,32
92,a,31
93,a,28
94,a,212
95,a,6
96,a,6
97,a,33
98,f,33
99,a,33
100,a,32
101,a,30
102,a,28
103,a,104
104,a,6
105,a,6
106,a,30
107,f,30
108,a,30
109,a,32
110,a,27
111,a,28
112,a,472
113,a,6
114,a,6
115,a,33
116,f,33
117,a,33
118,a,32
119,a,30
120,a,28
121,a,52
122,a,6
123,a,6
124,a,31
125,f,31
126,a,31
127,a,32
128,a,28
129,a,28
130,a,380
131,a,6
132,a,6
133,a,6
134,f,16
135,r,16
136,a,31
137,f,31
138,a,6
139,a,6
140,f,6
141,f,6
142,f,16
143,a,6
144,r,16
145,a,33
146,f,33
147,a,6
148,a,6
149,f,6
150,f,6
151,f,16
152,a,6
153,r,16
154,a,33
155,f,33
156,a,6
157,a,6
158,f,6
159,f,6
160,f,16
161,a,6
162,a,6
163,a,6
164,f,6
165,f,6
166,f,6
167,r,16
168,a,205
169,f,6
170,f,6
171,f,16
172,a,5
173,a,1
174,a,1
175,a,4080
176,a,5
177,a,32
178,a,1008
179,a,15
180,a,52
181,a,48
182,a,24
183,a,7
184,a,5
185,f,5
186,a,5
187,a,12
188,a,52
189,a,48
190,a,24
191,a,4
192,a,10
193,a,52
194,a,48
195,a,24
196,a,2
197,a,992
198,a,24
199,a,2
200,a,10
201,a,52
202,a,48
203,a,24
204,a,2
205,a,10
206,a,52
207,a,48
208,a,24
209,a,2
210,a,10
211,a,52
212,a,48
213,a,24
214,a,2
215,a,1
216,r,242
217,a,240
218,a,13
219,a,52
220,a,48
221,a,24
222,a,5
223,a,3
224,a,15
225,a,64
226,f,32
227,a,52
228,a,48
229,a,24
230,a,7
231,a,5
232,a,32
233,a,17
234,a,52
235,a,48
236,a,24
237,a,9
238,a,13
239,a,17
240,a,52
241,a,48
242,a,24
243,a,9
244,a,7
245,a,10
246,a,52
247,a,48
248,a,24
249,a,2
250,a,24
251,a,2
252,a,2
253,a,32
254,a,16
255,a,27
256,a,42
257,a,37
258,a,31
259,a,1
260,r,32
261,r,38
262,a,37
263,a,48
264,f,16
265,a,2
266,a,52
267,a,62
268,a,52
269,a,48
270,a,24
271,a,54
272,a,52
273,a,364
274,a,988
275,a,16
276,a,16
277,a,20
278,a,52
279,a,48
280,a,24
281,a,12
282,a,10
283,a,32
284,a,12
285,a,52
286,a,48
287,a,24
288,a,4
289,a,22
290,a,52
291,a,48
292,a,24
293,a,14
294,a,12
295,a,12
296,a,52
297,a,48
298,a,24
299,a,4
300,a,16
301,a,52
302,a,48
303,a,24
304,a,8
305,a,21
306,a,52
307,a,48
308,a,24
309,a,13
310,a,11
311,a,32
312,a,18
313,a,52
314,a,48
315,a,24
316,a,10
317,a,20
318,a,52
319,a,48
320,a,24
321,a,12
322,a,10
323,a,21
324,a,52
325,a,48
326,a,24
327,a,13
328,a,11
329,a,32
330,a,24
331,a,52
332,a,48
333,a,1008
334,a,24
335,a,16
336,a,21
337,a,128
338,f,64
339,a,52
340,a,48
341,a,24
342,a,13
343,a,11
344,a,10
345,a,52
346,a,48
347,a,24
348,a,2
349,a,2
350,a,14
351,a,52
352,a,48
353,a,24
354,a,6
355,a,88
356,a,13
357,a,52
358,a,48
359,a,24
360,a,5
361,a,3
362,a,32
363,a,17
364,a,52
365,a,48
366,a,24
367,a,9
368,a,11
369,a,14
370,a,52
371,a,48
372,a,24
373,a,6
374,a,15
375,a,52
376,a,48
377,a,24
378,a,7
379,a,88
380,a,15
381,a,52
382,a,48
383,a,24
384,a,7
385,a,15
386,a,52
387,a,48
