time,op,size
0,a,208
1,a,128
2,a,32640
3,a,11
4,f,32640
5,f,128
6,f,208
7,a,40
8,f,40
9,a,4
10,a,32808
11,f,32808
12,f,4
13,a,4
14,f,4
15,a,4
16,f,4
17,a,5
18,f,5
19,a,120
20,a,12
21,a,776
22,a,112
23,a,952
24,a,216
25,a,432
26,a,104
27,a,88
28,a,120
29,a,168
30,a,104
31,a,80
32,a,192
33,a,12
34,a,12
35,a,12
36,a,12
37,a,12
38,a,12
39,a,12
40,a,12
41,a,12
42,a,12
43,a,12
44,a,12
45,a,12
46,a,40
47,a,35
48,a,6
49,f,40
50,a,496
51,a,32
52,a,128
53,a,100
54,f,128
55,a,568
56,f,568
57,f,100
58,a,568
59,a,23
60,f,568
61,a,24
62,a,1
63,f,24
64,a,72
65,a,16
66,a,16
67,a,16
68,a,9
69,a,9
70,a,7
71,a,9
72,a,88
73,a,9
74,f,9
75,f,9
76,f,9
77,a,72
78,a,16
79,a,72
80,a,16
81,a,32
82,a,40
83,a,40
84,f,40
85,a,40
86,a,32
87,a,304
88,a,40
89,a,4
90,f,40
91,a,128
92,a,100
93,f,128
94,a,568
95,f,568
96,a,33
97,a,100
98,f,100
99,f,33
100,a,100
101,f,100
102,a,100
103,f,100
104,f,100
105,a,100
106,a,304
107,a,23
108,a,40
109,a,4
110,f,40
111,a,50
112,f,50
113,a,568
114,a,1600
115,a,1024
116,r,2048
117,f,568
118,a,5
119,a,55
120,a,104
121,a,50
122,a,72
123,a,44
124,a,56
125,a,41
126,a,48
127,a,47
128,a,56
129,a,41
130,f,41
131,a,41
132,f,41
133,a,49
134,a,72
135,a,44
136,f,44
137,a,46
138,a,56
139,a,41
140,f,41
141,a,41
142,f,41
143,a,44
144,f,44
145,a,52
146,a,72
147,a,47
148,f,47
149,a,46
150,f,46
151,a,41
152,f,41
153,a,47
154,f,47
155,a,46
156,f,46
157,a,41
158,f,41
159,f,5
160,a,208
161,a,128
162,a,32640
163,a,24
164,f,32640
165,f,128
166,f,208
167,a,56
168,f,56
169,a,5
170,a,61
171,a,104
172,a,56
173,a,72
174,a,50
175,a,56
176,a,47
177,a,48
178,a,53
179,a,56
180,a,47
181,f,47
182,a,47
183,f,47
184,a,55
185,a,72
186,a,50
187,f,50
188,a,52
189,a,56
190,a,47
191,f,47
192,a,47
193,f,47
194,a,50
195,f,50
196,a,58
197,a,72
198,a,53
199,f,53
200,a,52
201,f,52
202,a,47
203,f,47
204,a,53
205,f,53
206,a,52
207,f,52
208,a,47
209,f,47
210,f,5
211,f,24
212,a,50
213,f,50
214,a,208
215,a,128
216,a,32640
217,a,24
218,f,32640
219,f,128
220,f,208
221,a,56
222,f,56
223,a,42
224,a,8
225,f,8
226,a,12
227,a,12
228,a,24
229,a,40
230,a,8
231,a,40
232,a,404
233,r,16
234,a,24
235,a,24
236,a,8
237,a,8
238,r,16
239,r,16
240,a,32
241,r,64
242,a,16
243,a,112
244,a,40
245,a,24
246,a,8
247,r,18
248,a,49
249,a,224
250,a,8
251,a,8
252,a,64
253,a,64
254,a,56
255,a,8
256,r,40
257,a,8
258,a,240
259,a,8
260,a,8
261,a,8
262,a,8
263,a,8
264,r,31
265,a,48
266,a,48
267,a,48
268,a,8
269,r,16
270,a,32
271,a,8
272,r,54
273,a,8
274,r,16
275,a,32
276,r,64
277,f,32
278,r,38
279,a,40
280,a,48
281,a,42
282,f,49
283,a,48
284,a,48
285,a,112
286,a,40
287,a,256
288,a,152
289,a,40
290,a,40
291,r,80
292,a,160
293,a,40
294,a,24
295,a,64
296,f,24
297,f,24
298,f,40
299,f,16
300,a,8
301,a,24
302,a,16
303,a,152
304,a,40
305,a,40
306,r,80
307,a,160
308,a,8
309,a,72
310,a,56
311,a,152
312,a,40
313,a,40
314,r,80
315,a,160
316,a,24
317,a,12
318,r,223
319,f,12
320,f,24
321,a,404
322,a,24
323,f,24
324,r,2056
325,a,8
326,a,8
327,r,43
328,r,40
329,a,8
330,r,16
331,a,32
332,f,8
333,r,64
334,a,33
335,a,2056
336,a,152
337,a,40
338,a,40
339,r,88
340,a,152
341,a,40
342,a,40
343,r,168
344,f,56
345,a,24
346,f,72
347,f,8
348,a,6
349,r,320
350,a,24
351,a,12
352,f,12
353,f,24
354,a,24
355,a,13
356,a,8
357,r,16
358,a,8
359,f,8
360,f,13
361,f,24
362,a,8
363,a,72
364,a,56
365,a,24
366,a,12
367,r,223
368,f,12
369,f,24
370,a,24
371,f,24
372,a,176
373,a,788
374,f,56
375,f,72
376,f,8
377,a,8
378,r,31
379,a,8
380,f,8
381,a,40
382,f,40
383,r,320
384,a,24
385,a,12
386,f,12
387,f,24
388,a,24
389,a,13
390,a,8
391,r,16
392,a,8
393,f,8
394,f,13
395,f,24
396,a,8
397,a,72
398,a,56
399,a,24
400,a,12
401,r,223
402,f,12
403,f,24
404,a,24
405,f,24
406,f,56
407,f,72
408,f,8
409,a,8
410,r,31
411,a,8
412,f,8
413,a,40
414,f,40
415,r,352
416,a,24
417,a,12
418,f,12
419,f,24
420,a,24
421,a,13
422,a,8
423,r,16
424,a,8
425,f,8
426,f,13
427,f,24
428,a,8
429,a,72
430,a,56
431,a,24
432,a,12
433,f,12
434,f,24
435,a,24
436,f,24
437,f,56
438,f,72
439,f,8
440,a,8
441,r,31
442,a,8
443,f,8
444,a,40
445,f,40
446,a,24
447,a,12
448,f,12
449,f,24
450,a,24
451,a,13
452,a,8
453,r,16
454,a,8
455,f,8
456,f,13
457,f,24
458,a,8
459,a,72
460,a,56
461,a,24
462,a,12
463,f,12
464,f,24
465,a,24
466,f,24
467,f,56
468,f,72
469,f,8
470,a,8
471,r,31
472,a,8
473,f,8
474,a,40
475,f,40
476,a,24
477,a,12
478,f,12
479,f,24
480,a,24
481,a,13
482,a,8
483,r,16
484,a,8
485,f,8
486,f,13
487,f,24
488,a,8
489,a,72
490,a,56
491,a,24
492,a,12
493,f,12
