time,op,size
0,a,10066
1,a,13688
2,a,16423
3,a,13561
4,a,29017
5,a,23390
6,a,23764
7,a,19356
8,a,5704
9,a,23891
10,a,17328
11,a,15484
12,a,7379
13,a,14358
14,a,26628
15,a,26102
16,a,5684
17,a,11114
18,a,24078
19,a,21430
20,a,22404
21,a,21496
22,a,24747
23,a,19191
24,a,13269
25,a,22131
26,f,22131
27,a,20337
28,a,8781
29,a,6273
30,a,6409
31,a,17736
32,a,13560
33,a,32236
34,a,28335
35,a,10416
36,a,26007
37,a,16675
38,a,15247
39,a,14591
40,a,31679
41,a,29772
42,a,19690
43,a,22201
44,a,8953
45,a,5620
46,a,13678
47,a,10867
48,a,12545
49,a,25615
50,a,28465
51,a,26842
52,a,20402
53,a,11277
54,a,1672
55,a,26925
56,a,31386
57,a,15311
58,a,16089
59,a,30143
60,a,26345
61,a,26836
62,a,6234
63,a,25769
64,a,12398
65,a,26020
66,a,6600
67,a,22130
68,a,16914
69,a,15978
70,a,17241
71,a,15808
72,a,12539
73,a,27399
74,f,28465
75,a,31464
76,a,5737
77,a,9907
78,a,20462
79,a,30839
80,a,21689
81,a,20698
82,a,4483
83,a,17387
84,a,29521
85,a,24544
86,a,7475
87,a,31132
88,a,5131
89,a,15993
90,a,15800
91,a,29834
92,f,13678
93,a,5840
94,a,24764
95,a,15933
96,a,22460
97,a,24903
98,a,11389
99,a,15547
100,a,2471
101,a,22565
102,a,22677
103,a,4971
104,a,7563
105,a,23425
106,a,4706
107,a,6819
108,a,20672
109,a,19247
110,a,20516
111,a,8166
112,a,8649
113,a,24556
114,a,21511
115,f,15311
116,a,26510
117,a,12882
118,a,11769
119,a,23238
120,a,2165
121,a,29786
122,a,13116
123,a,9721
124,f,31132
125,a,15151
126,a,20450
127,a,26012
128,a,7558
129,a,27025
130,a,13668
131,f,20516
132,a,10189
133,a,3433
134,a,26988
135,a,20616
136,a,11981
137,a,26874
138,a,25625
139,a,26100
140,a,9803
141,a,26600
142,a,12637
143,a,22764
144,a,28199
145,a,25104
146,a,24763
147,a,26005
148,a,8247
149,a,30734
150,f,22565
151,f,28199
152,a,14972
153,a,29154
154,a,10194
155,a,14618
156,a,7865
157,a,22685
158,a,10545
159,a,2408
160,a,29318
161,a,2756
162,a,5580
163,a,13667
164,a,11108
165,a,7911
166,a,15783
