time,op,size
0,a,15121
1,a,8792
2,a,28463
3,a,22031
4,a,20730
5,a,11017
6,a,8420
7,a,23507
8,a,23069
9,a,6088
10,a,25358
11,a,6330
12,a,28949
13,a,5108
14,a,29870
15,a,18971
16,a,29173
17,a,4607
18,a,27168
19,a,6849
20,a,22338
21,a,14144
22,a,13808
23,a,10913
24,a,8907
25,a,2054
26,a,11557
27,a,10506
28,a,25501
29,a,16635
30,a,22284
31,a,16756
32,a,31615
33,a,12641
34,a,6575
35,a,16026
36,a,26682
37,a,3433
38,a,30270
39,a,8067
40,a,20154
41,a,25360
42,a,17306
43,a,21749
44,a,26636
45,a,29274
46,a,14956
47,a,15642
48,a,13587
49,a,6724
50,a,16722
51,a,27113
52,a,2630
53,a,3465
54,a,24213
55,a,4638
56,a,18265
57,a,12389
58,a,26321
59,a,13215
60,a,24599
61,a,30273
62,a,9948
63,a,12776
64,a,7811
65,a,4700
66,a,5789
67,a,22264
68,a,10009
69,a,20655
70,a,26606
71,a,24031
72,a,23964
73,a,22279
74,f,13587
75,a,2010
76,a,4954
77,a,13206
78,a,17780
79,a,19225
80,a,29427
81,a,29809
82,a,14076
83,a,23572
84,a,14889
85,a,8762
86,a,18450
87,a,3847
88,a,2906
89,a,26772
90,a,12743
91,a,12028
92,a,28488
93,a,22930
94,a,25353
95,a,11953
96,a,9967
97,a,17595
98,a,6924
99,a,28177
100,a,6963
101,a,16438
102,f,6849
103,a,28809
104,a,5567
105,a,10711
106,a,21838
107,a,23551
108,a,15773
109,a,9796
110,a,23865
111,a,15036
112,f,29809
113,a,23338
114,a,520
115,a,4974
116,a,27584
117,a,31819
118,a,2022
119,a,23804
120,a,30434
121,a,24732
122,a,18839
123,a,3709
124,a,23399
125,a,5631
126,a,27558
127,a,11586
128,a,27245
129,a,11926
130,a,17579
131,a,18117
132,a,20622
133,a,19054
134,a,10502
135,a,4066
136,a,18853
137,a,29466
138,a,10047
139,a,17006
140,a,27476
141,a,21343
142,a,2647
143,a,9268
144,a,833
145,a,10798
146,a,8130
147,a,12467
148,a,23277
149,a,29272
150,a,25015
151,a,31700
152,a,13490
153,a,11558
154,a,14597
155,f,20154
156,a,11717
157,a,19977
158,a,23780
159,a,12980
160,a,22556
161,a,28383
162,a,12121
163,a,16093
164,a,11383
165,a,31311
166,a,16997
167,a,16891
168,a,10798
169,a,17214
170,a,3166
171,a,28160
172,a,12678
173,a,10373
174,a,15856
175,a,11206
176,a,24619
177,a,17747
178,a,15806
179,a,22747
180,a,26294
181,f,26682
182,a,2272
183,a,29277
184,a,13505
185,a,28350
186,a,17596
187,a,21379
188,a,4146
189,a,6887
190,a,3408
191,a,20041
192,a,24650
193,a,24257
194,a,22
195,a,25790
196,a,18289
197,a,1698
198,a,9607
199,a,2425
200,a,29194
201,a,29558
202,a,28959
203,a,6830
204,a,22983
205,a,9067
206,a,31439
207,a,21657
208,a,24590
209,f,28160
210,a,15962
211,a,5804
212,a,15094
213,a,17974
214,f,20655
215,a,3759
216,a,12203
217,a,28673
218,a,23962
219,a,10812
220,a,18690
221,a,27317
222,a,28153
223,a,20426
224,a,12696
225,a,28106
226,a,3612
227,a,12270
228,a,12663
229,a,20021
230,a,6547
231,a,27466
232,a,22835
233,a,18182
234,a,6847
235,a,881
236,a,28209
237,f,8067
238,a,9808
239,a,1592
240,a,29725
241,a,26437
242,a,9150
243,a,21563
244,a,6456
245,a,16151
246,a,7786
247,a,32301
248,a,17949
249,a,25425
250,a,16565
251,a,15786
252,a,26525
253,a,20756
254,a,9078
255,a,17396
256,a,17372
257,a,31312
258,a,15839
259,a,21565
260,f,15962
261,f,8907
262,a,16742
263,a,22781
264,a,22034
265,a,24893
266,a,21604
267,a,14986
268,a,21445
269,a,8919
270,a,4798
271,a,12159
272,a,30584
273,a,14241
274,a,29727
275,a,27497
276,a,30215
277,a,12199
278,a,10927
279,a,921
280,a,4761
281,a,607
282,a,30399
283,a,18046
284,a,17531
285,a,5388
286,f,6887
287,f,12121
288,a,4046
289,a,348
290,a,6222
291,a,19821
292,a,5805
293,a,212
294,a,23623
295,a,7712
296,a,10080
297,a,30373
298,f,15806
299,f,28209
300,a,12092
301,f,29272
302,a,16203
303,a,8471
304,a,25082
305,a,7631
306,a,2660
307,a,13035
308,a,4035
309,a,5540
310,a,28710
311,a,29781
312,a,6212
313,a,21507
314,a,11068
315,a,22721
316,a,14877
317,a,9442
318,a,27142
319,a,8462
320,a,4033
321,f,29173
322,a,21799
323,a,24816
324,a,4264
325,a,4839
326,a,19492
327,a,21200
328,f,5804
329,a,19727
330,a,19392
331,a,13547
332,a,5142
333,a,26230
334,a,1104
335,a,12649
336,a,10759
337,a,31091
338,a,8353
339,a,29479
340,a,9067
341,a,4363
342,f,30434
343,f,12092
344,a,21359
345,a,5487
346,a,29044
347,f,881
348,a,1125
349,a,11776
350,a,14925
351,a,23862
352,a,23737
353,a,26009
354,a,6394
355,f,21838
356,a,2246
357,a,10563
358,a,8004
359,a,15400
360,f,19225
361,a,32378
362,a,23736
363,a,27565
364,a,5978
365,a,31129
366,a,24752
367,f,21563
368,f,13547
369,f,9948
370,f,11586
371,a,723
372,f,11206
373,f,28949
374,a,2881
375,a,22867
376,a,16398
377,a,28212
378,a,29643
379,a,27202
380,a,21683
381,a,30276
382,a,29370
383,a,12038
384,a,701
385,f,28106
386,a,25908
387,a,29923
388,a,27381
389,a,9104
390,a,30722
391,f,30399
392,a,17969
393,a,31072
394,a,1237
395,a,6843
396,a,6882
397,a,20988
398,a,26313
399,f,12159
400,a,25859
401,a,28364
402,a,21027
403,a,21906
404,a,3929
405,a,17244
406,a,24778
407,a,25147
408,a,829
409,a,6709
410,f,23964
411,a,24173
412,a,14668
413,a,29633
414,a,26189
415,a,29916
416,a,25078
417,f,22721
418,a,30662
419,f,16891
420,a,25574
421,f,18690
422,a,7944
423,a,7610
424,a,2827
425,a,18004
426,a,5244
427,a,9231
428,f,26189
429,a,10625
430,a,6354
431,a,17882
432,a,20600
433,a,27920
434,f,14144
435,a,3930
436,a,14482
437,a,13891
438,f,28153
439,a,22410
440,a,20740
441,f,19054
442,a,13213
443,a,24727
444,f,6709
445,a,10389
446,a,5303
447,a,18902
448,a,28145
449,a,5250
450,a,2698
451,f,20021
452,a,2140
453,a,7290
454,a,12553
455,a,10563
456,a,24797
457,f,21445
458,a,4992
459,f,11926
460,f,26437
461,f,12467
462,a,26150
463,a,13440
464,a,15385
465,a,6626
466,a,21439
467,f,16565
468,a,27054
469,a,30076
470,a,242
471,a,31391
472,a,12493
473,a,1110
474,f,12663
475,f,25147
476,f,26606
477,a,9935
478,a,9386
479,a,17112
480,a,19279
481,a,19972
482,a,15145
483,a,16040
484,a,24113
485,a,26187
486,a,27344
487,a,943
488,a,3608
489,a,12999
490,f,9231
491,a,32203
492,a,32704
493,a,27646
494,a,13560
495,a,4269
496,a,25505
497,a,14846
498,f,18853
499,a,3186
500,f,10563
501,a,13815
502,a,23896
503,a,28762
504,a,15820
505,a,31990
506,f,4992
507,f,14846
508,a,5201
509,a,6322
510,f,29727
511,a,26238
512,a,17925
513,a,31328
514,a,4060
515,a,26633
516,a,31824
517,f,24599
518,a,14074
519,a,19880
520,f,23399
521,a,5389
522,a,31152
523,a,6976
524,a,9631
525,a,31770
526,f,4060
527,a,3210
528,f,17579
529,a,25427
530,a,8383
531,a,19463
532,a,15301
533,a,31613
534,a,24084
535,f,22279
536,a,1449
537,a,26176
538,a,22445
539,a,28612
540,a,12558
541,a,18260
542,a,27963
543,a,30342
544,a,5582
545,a,4538
546,a,26465
547,f,6924
548,a,27740
549,a,11525
550,a,26360
551,a,22031
552,a,28425
553,a,6392
554,a,10271
555,a,20094
556,a,3343
557,a,15500
558,a,19112
559,a,10309
560,a,12165
561,a,30888
562,a,6680
563,f,5244
564,a,14097
565,a,23874
566,f,13891
567,a,11622
568,a,5876
569,a,22379
570,f,18182
571,f,7631
572,a,6088
573,a,14814
574,a,28982
575,f,9935
576,f,9386
577,a,30265
578,f,5487
579,a,8453
580,a,6508
581,f,27168
582,f,12028
583,f,16040
584,a,3680
585,a,31360
586,a,11666
587,a,13709
588,a,386
589,a,21660
590,a,3814
591,a,1608
592,f,10080
593,a,6133
594,f,13440
595,a,21959
596,a,6865
597,a,26950
598,f,13206
599,a,25788
600,a,6069
601,a,13001
602,a,23510
603,a,27658
604,a,25063
605,f,23277
606,a,28985
607,a,12960
608,a,24820
609,a,30414
610,f,6882
611,a,25167
612,a,24998
613,a,23187
614,f,7944
615,a,5539
616,a,12201
617,a,4293
