time,op,size
0,r,16
1,a,364
2,r,800
3,r,1024
4,r,2048
5,f,364
6,a,40
7,f,40
8,a,40
9,a,32
10,a,37
11,a,28
12,a,92
13,a,6
14,a,6
15,a,37
16,f,37
17,a,37
18,a,32
19,a,34
20,a,28
21,a,36
22,a,6
23,a,6
24,a,35
25,f,35
26,a,35
27,a,32
28,a,32
29,a,28
30,a,48
31,a,6
32,a,6
33,a,33
34,f,33
35,a,33
36,a,32
37,a,30
38,a,28
39,a,80
40,a,6
41,a,6
42,a,30
43,f,30
44,a,30
45,a,32
46,a,27
47,a,28
48,a,56
49,a,6
50,a,6
51,a,31
52,f,31
53,a,31
54,a,32
55,a,28
56,a,28
57,a,40
58,a,6
59,a,6
60,a,34
61,f,34
62,a,34
63,a,32
64,a,31
65,a,28
66,a,48
67,a,6
68,a,6
69,a,34
70,f,34
71,a,34
72,a,32
73,a,31
74,a,28
75,a,212
76,a,6
77,a,6
78,a,33
79,f,33
80,a,33
81,a,32
82,a,30
83,a,28
84,a,104
85,a,6
86,a,6
87,a,30
88,f,30
89,a,30
90,a,32
91,a,27
92,a,28
93,a,472
94,a,6
95,a,6
96,a,33
97,f,33
98,a,33
99,a,32
100,a,30
101,a,28
102,a,52
103,a,6
104,a,6
105,a,31
106,f,31
107,a,31
108,a,32
109,a,28
110,a,28
111,a,380
112,a,6
113,a,6
114,a,6
115,f,16
116,a,22
117,a,10
118,a,4072
119,a,4072
120,a,40
121,a,536
122,r,5
123,a,49
124,f,49
125,a,49
126,a,32
127,a,46
128,a,28
129,a,49
130,f,49
131,a,49
132,f,49
133,a,256
134,a,28
135,a,32
136,a,8
137,a,640
138,a,128
139,f,28
140,f,32
141,f,8
142,f,640
143,f,536
144,f,40
145,f,4072
146,f,4072
