time,op,size
0,a,512
1,a,16
2,a,16
3,a,16
4,a,16
5,a,16
6,a,16
7,f,16
8,a,16
9,a,16
10,f,512
11,a,512
12,a,16
13,f,16
14,a,16
15,a,512
16,f,16
17,a,512
18,a,16
19,f,16
20,a,16
21,a,512
22,f,512
23,a,512
24,a,512
25,a,512
26,f,16
27,a,512
28,a,512
29,f,512
30,a,512
31,a,16
32,a,512
33,f,16
34,f,16
35,f,16
36,a,512
37,a,16
38,f,16
39,f,16
40,f,512
41,a,16
42,a,16
43,a,512
44,f,16
45,f,512
46,a,16
47,f,512
48,a,512
49,a,512
50,a,512
51,a,512
52,f,512
53,a,16
54,f,512
55,f,16
56,a,16
57,a,16
58,a,512
59,a,512
60,a,16
61,f,512
62,a,16
63,f,16
64,f,512
65,f,512
66,a,16
67,f,512
68,f,512
69,f,512
70,f,16
71,f,16
72,a,16
73,a,16
74,a,16
75,a,512
76,f,512
77,f,16
78,a,16
79,f,16
80,a,16
81,f,16
82,a,16
83,a,16
84,a,512
85,a,16
86,f,512
87,f,16
88,f,16
89,a,512
90,f,16
91,a,16
92,a,512
93,a,16
94,f,16
95,a,512
96,a,512
97,a,512
98,f,16
99,f,512
100,a,16
101,a,512
102,f,16
103,f,512
104,a,16
105,f,512
106,f,16
107,a,16
108,f,16
109,a,16
110,f,16
111,f,512
112,a,512
113,a,512
114,a,16
115,a,512
116,f,16
117,f,16
118,a,512
119,f,16
120,f,16
121,a,512
122,f,512
123,f,512
124,a,512
125,a,512
126,f,16
127,a,512
128,f,512
129,a,512
130,f,512
131,a,512
132,f,512
133,f,16
134,a,512
135,a,512
136,a,512
137,f,512
138,f,512
139,a,16
140,f,512
141,a,512
142,a,16
143,a,512
144,f,512
145,a,512
146,a,16
147,a,512
148,f,512
149,f,512
150,a,16
151,a,16
152,a,16
153,f,512
154,f,512
155,f,512
156,a,512
157,a,512
158,f,16
159,f,16
160,f,16
161,f,16
162,a,16
163,a,16
164,f,512
165,f,512
166,a,512
167,a,512
168,f,512
169,a,512
170,a,512
171,a,512
172,f,16
173,f,512
174,f,512
175,a,16
176,f,512
177,f,16
178,f,16
179,f,512
180,a,16
181,a,16
182,f,512
183,a,512
184,a,16
185,a,512
186,a,16
187,a,512
188,f,512
189,f,512
190,a,16
191,f,16
192,f,16
193,a,16
194,f,16
195,f,16
196,f,512
197,f,16
198,f,512
199,f,512
200,a,512
