size,count
1,41
2,244
3,157
4,20
5,53
6,35
7,41
8,33
9,34
10,25
11,18
12,56
13,35
14,29
15,30
16,222
17,12
18,13
19,23
20,20
21,13
22,16
23,24
24,64
25,21
26,6
27,24
28,10
29,21
30,14
31,9
32,420
33,8
34,17
35,6
36,7
37,9
38,12
39,16
40,6
41,7
42,5
43,12
44,3
45,3
46,3
47,13
48,91
49,9
50,4
51,10
52,2
53,13
54,5
55,2
56,2
57,1
58,3
59,8
60,6
61,2
64,69
65,2
66,2
68,3
69,18
70,5
73,6
75,3
76,7
77,2
78,2
79,2
80,2
81,1
82,4
88,1
90,4
91,4
93,4
96,1
97,5
104,3
112,82
113,4
120,2
128,20
137,6
139,7
144,2
153,3
158,2
163,11
168,1
192,4
197,2
208,2
216,1
256,9
277,1
280,2
288,1
303,2
305,4
382,2
383,3
384,4
432,1
480,2
496,1
512,5
544,2
568,3
624,2
776,1
952,1
1254,1
1264,5
2200,1
7017,1
