size,count
1,77
2,757
3,320
4,51
5,172
6,110
7,81
8,56
9,81
10,101
11,79
12,74
13,47
14,67
15,62
16,1388
17,11
18,26
19,66
20,62
21,36
22,26
23,41
24,471
25,25
26,16
27,25
28,29
29,26
30,21
31,15
32,1749
33,13
34,16
35,10
36,18
37,19
38,14
39,16
40,28
41,37
42,8
43,12
44,13
45,14
46,9
47,8
48,136
49,3
50,3
51,4
52,6
53,10
54,12
55,11
56,7
57,7
58,11
59,10
60,9
61,5
62,6
63,9
64,218
65,18
66,15
67,9
68,12
69,10
70,6
71,10
72,11
73,10
74,14
75,11
76,12
77,12
78,11
79,7
80,49
81,44
83,4
85,2
87,2
88,1
91,1
95,4
96,3
97,1
103,4
104,4
105,2
106,1
112,111
113,2
114,6
120,2
122,4
128,124
129,1
139,3
140,4
141,2
144,2
150,2
160,4
165,1
168,1
183,3
192,6
205,1
208,2
216,1
223,2
228,5
242,1
243,2
244,1
245,1
249,6
256,10
279,1
320,2
384,1
411,3
432,1
448,1
480,2
496,1
512,6
568,1
592,2
776,1
952,1
1254,1
1264,3
2200,1
8192,1
32808,1
