size,count
32,100
64,100
96,100
128,100
160,100
192,100
224,100
256,100
288,100
320,100
352,100
384,100
416,100
448,100
480,100
512,100
544,100
576,100
608,100
640,100
672,100
704,100
736,100
768,100
800,100
832,100
864,100
896,100
928,100
960,100
992,100
1024,100
1056,100
1088,100
1120,100
1152,100
1184,100
1216,100
1248,100
1280,100
1312,100
1344,100
1376,100
1408,100
1440,100
1472,100
1504,100
1536,100
1568,100
1600,100
1632,100
1664,100
1696,100
1728,100
1760,100
1792,100
1824,100
1856,100
1888,100
1920,100
1952,100
1984,100
2016,100
2048,100
2080,100
2112,100
2144,100
2176,100
2208,100
2240,100
2272,100
2304,100
2336,100
2368,100
2400,100
2432,100
2464,100
2496,100
2528,100
2560,100
2592,100
2624,100
2656,100
2688,100
2720,100
2752,100
2784,100
2816,100
2848,100
2880,100
2912,100
2944,100
2976,100
3008,100
3040,100
3072,100
3104,100
3136,100
3168,100
3200,100
