size,count
1,35
2,522
3,180
4,75
5,157
6,68
7,72
8,82
9,69
10,62
11,60
12,84
13,46
14,33
15,30
16,804
17,21
18,30
19,42
20,20
21,23
22,30
23,28
24,271
25,9
26,11
27,23
28,28
29,32
30,16
31,42
32,1072
33,14
34,19
35,23
36,18
37,9
38,18
39,16
40,22
41,26
42,7
43,8
44,10
45,21
46,18
47,6
48,111
49,9
50,6
51,4
53,5
54,2
55,1
56,7
57,4
58,5
59,9
60,1
61,15
62,5
63,1
64,169
65,2
66,1
67,4
68,7
69,5
70,1
71,4
72,2
73,2
74,5
75,19
76,19
77,12
78,8
79,3
80,7
81,1
82,1
83,2
87,5
88,4
89,5
90,4
91,1
96,1
97,1
101,5
102,1
104,3
107,4
108,1
109,1
112,83
113,3
116,3
117,3
118,3
120,2
128,16
139,1
144,3
168,1
192,1
208,2
216,1
228,1
256,1
320,2
432,1
480,2
496,1
512,5
568,1
592,2
688,1
744,1
776,1
952,1
1254,1
1264,4
2200,1
8192,1
