size,count
1,39
2,12
3,6
4,989
5,234
6,506
7,771
8,1250
9,666
10,572
11,432
12,12758
13,191
14,166
15,571
16,234
17,191
18,82
19,50
20,519
21,23
22,20
23,12
24,181
25,14
26,26
27,35
28,321
29,42
30,24
31,22
32,48
33,5
34,1
36,13
37,72
38,2
39,28
40,53
41,2
42,26
43,13
44,20
45,9
46,1
47,2
48,26
50,1
51,2
52,168
54,1
55,2
56,8
57,3
58,4
59,1
60,222
61,1
62,8
63,3
64,18
65,3
66,8
67,7
68,373
69,9
70,21
71,8
72,8
73,14
74,4
75,15
76,2
77,2
78,18
79,16
80,101
82,10
83,3
84,6
85,2
86,1
87,3
88,98
89,1
90,2
92,1
94,1
95,1
96,9
98,2
99,1
100,2
102,1
104,5
105,1
108,2
109,3
110,1
111,1
112,3
113,3
114,3
115,2
116,94
118,1
120,20
121,4
122,1
123,3
124,10
125,3
126,3
127,11
128,11
130,3
131,1
132,19
133,5
134,2
135,2
136,6
137,2
138,4
139,3
140,2
141,4
143,3
144,7
145,3
146,3
147,2
148,6
149,2
150,2
151,4
152,3
153,1
154,1
155,5
156,3
159,1
160,29
164,1
165,2
166,3
167,1
168,5
169,1
170,1
171,1
172,277
174,1
176,2
177,1
180,1
184,1
185,1
187,1
188,1
189,1
190,1
192,1
194,1
195,1
196,591
197,1
198,1
200,421
201,2
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
212,1
213,4
214,1
216,5
217,1
219,1
220,1
221,1
223,1
226,3
228,2
229,1
230,1
231,1
233,3
234,1
238,2
240,1
241,1
244,2
245,1
248,3
252,2
253,1
255,1
256,3
263,1
264,6
267,3
268,1
272,3
276,1
279,1
280,1
284,1
292,1
296,2
300,2
308,1
312,1
316,1
320,4
321,1
324,2
327,1
333,2
334,2
336,2
339,1
340,4
343,1
344,1
349,1
352,3
356,1
357,1
358,1
360,1
364,97
371,1
372,1
376,1
379,1
380,2
381,1
384,1
396,5
400,423
404,1
408,1
412,1
428,1
430,1
432,1
436,1
460,1
464,3
472,1
480,1
500,1
504,1
506,2
512,1
516,2
517,1
519,1
528,5
547,1
552,2
573,1
576,2
586,1
602,1
615,1
624,1
647,1
660,5
744,1
747,1
756,1
789,3
792,5
800,3
811,1
848,3
855,1
924,5
955,1
1008,1
1009,1
1024,5
1056,5
1061,1
1156,7
1188,4
1198,3
1213,1
1244,1
1320,4
1426,1
1452,4
1584,4
1606,1
1616,2
1656,1
1716,4
1812,1
1848,4
1872,1
1888,1
1980,3
2032,1
2048,15
2112,3
2124,5129
2244,3
2376,2
2508,2
2640,2
2772,2
2904,2
3036,2
3088,1
3168,2
3300,2
3432,2
3564,2
3696,2
3828,2
3960,2
4056,222
4080,1
4092,1
4224,1
4356,1
4488,1
4620,1
7080,93
8888,1
9696,1
11312,3
12304,1
12928,1
13736,2
16160,1
16224,46
16384,93
16968,1
17776,3
18584,2
20200,2
21008,1
21816,2
22624,2
23432,1
24240,1
24688,2
25048,3
25856,3
26664,3
27472,3
29088,1
29896,1
30260,1
30704,2
31512,2
32320,1
32448,47
33128,2
33936,1
34744,3
37976,1
38784,1
40400,1
43632,1
44440,2
46864,1
49264,2
50096,1
50904,1
56560,1
57368,1
59792,1
60600,1
61408,2
63024,1
64640,1
64896,209
65448,2
65536,18
66256,1
71912,1
72720,1
73528,1
77568,1
78376,1
81120,216
81608,1
82416,1
84032,1
87264,1
88072,1
88880,1
96152,1
96408,2
97344,7
117160,1
162408,1
324480,1
393488,1
