size,count
1,180
2,699
3,453
4,164
5,160
6,490
7,95
8,2966
9,109
10,168
11,85
12,206
13,119
14,83
15,102
16,984
17,104
18,106
19,26
20,174
21,41
22,42
23,38
24,1605
25,101
26,41
27,70
28,550
29,66
30,127
31,138
32,605
33,170
34,109
35,71
36,624
37,55
38,37
39,24
40,60
41,19
42,13
43,7
44,69
45,4
46,4
47,3
48,272
49,10
50,1
51,3
52,309
53,8
54,4
55,1
56,55
57,3
60,9
61,5
62,9
63,2
64,19
65,1
68,2
69,6
70,1
71,14
72,30
73,13
75,146
76,14
77,24
78,12
79,16
80,132
81,32
82,18
83,10
84,17
85,20
86,6
87,12
88,21
89,10
91,7
92,14
93,4
94,1
96,6
100,2
104,27
108,6
112,16
116,1
120,50
124,1
128,19
136,1
140,2
148,1
152,4
156,1
168,7
172,1
176,2
192,1
200,1
205,4
212,12
216,2
232,1
236,1
240,9
242,4
244,1
249,5
252,1
256,9
264,5
267,1
268,5
269,1
276,1
278,4
296,1
304,2
312,1
320,1
328,2
336,1
340,1
341,5
352,1
364,56
380,12
404,1
416,5
441,5
446,4
472,12
496,4
511,1
512,13
533,1
536,2
547,1
564,1
568,1
580,1
600,5
640,1
700,2
772,1
784,4
800,12
834,4
840,1
955,2
968,4
988,4
992,8
1000,4
1008,44
1024,17
1160,1
1172,1
1184,1
1200,4
1320,61
1336,1
1492,2
1656,6
1740,1
1780,2
1984,1
2048,18
2128,2
2436,1
2840,1
3072,3
4072,5
4080,4
4095,4
4096,2
4144,7
8056,4
8176,1
8192,12
11600,2
20412,1
20480,1
327680,1
