size,count
8,91
16,68
24,86
32,81
40,83
48,98
56,76
64,72
72,73
80,86
88,79
96,69
104,90
112,81
120,76
128,66
136,67
144,97
152,106
160,66
168,74
176,94
184,76
192,88
200,78
208,79
216,78
224,73
232,83
240,76
248,70
256,65
264,68
272,80
280,91
288,72
296,70
304,64
312,85
320,67
328,85
336,78
344,79
352,74
360,70
368,65
376,68
384,76
392,70
400,81
408,79
416,72
424,88
432,77
440,69
448,79
456,84
464,74
472,92
480,92
488,91
496,79
504,76
512,75
520,81
528,77
536,63
544,90
552,85
560,63
568,85
576,76
584,86
592,95
600,84
608,75
616,87
624,83
632,66
640,79
648,79
656,78
664,63
672,74
680,88
688,84
696,79
704,79
712,75
720,85
728,88
736,61
744,75
752,75
760,74
768,78
776,77
784,84
792,75
800,65
808,83
816,75
824,79
832,73
840,82
848,84
856,83
864,89
872,84
880,75
888,94
896,77
904,73
912,76
920,68
928,72
936,82
944,73
952,86
960,76
968,60
976,82
984,70
992,76
1000,77
1008,60
1016,77
1024,88
