size,count
2,290
3,6
4,1743
5,20
6,1702
7,78
8,3254
9,152
10,52
11,920
12,1054
13,182
14,1129
15,259
16,3771
17,218
18,247
19,297
20,1904
21,91
22,146
23,185
24,596
25,152
26,97
27,177
28,133
29,103
30,88
31,365
32,678
33,91
34,130
35,594
36,971
37,79
38,118
39,35
40,33
41,101
42,475
43,27
44,97
45,117
46,33
47,70
48,37
49,64
50,71
51,14
52,18
53,146
54,17
55,26
56,10
57,94
58,20
59,4
60,48
61,185
62,116
63,30
64,855
65,72
66,12
68,846
69,44
71,14
72,846
73,39
74,2
75,146
76,11
77,59
78,9
79,16
80,6
81,51
82,18
83,12
84,14
85,55
86,6
87,12
89,35
91,6
93,24
96,5
97,14
100,2
101,22
105,20
109,14
112,1
113,29
117,5
118,6
120,2
121,17
125,15
128,21
129,5
133,9
135,3
137,4
141,3
145,12
146,1
149,12
153,5
157,4
161,8
165,20
168,1
169,3
173,5
177,3
181,1
189,6
197,3
200,2
205,1
209,3
213,3
229,2
237,1
241,1
249,1
256,5
269,2
288,3
289,1
293,1
300,2
309,1
320,72
329,1
333,1
364,8
380,1
400,2
416,2
500,2
600,2
640,6
700,2
800,3
900,2
955,1
1000,3
1024,844
1100,2
1200,2
1224,1
1300,2
1400,2
1432,1
1500,2
1600,2
1656,1
1700,2
1800,2
1900,2
2000,2
2048,1
2064,1
2100,2
2200,2
2300,2
2400,2
2500,2
2600,2
2700,2
2800,2
2900,2
3000,2
3100,2
3200,2
3300,2
3400,2
32640,2
