size,count
1,44
2,41
3,7
4,28
5,32
6,49
7,16
8,17
9,15
10,30
11,14
12,24
13,21
14,10
15,14
16,28
17,11
18,6
19,3
20,8
21,7
22,4
23,1
24,141
25,3
26,5
27,3
28,88
29,10
30,7
31,8
32,94
33,9
34,8
35,4
36,12
37,5
38,1
40,3
42,3
43,2
44,2
48,46
49,2
52,75
53,2
54,1
56,11
57,1
62,3
63,1
64,3
72,2
76,1
80,29
88,5
92,1
104,1
108,1
112,2
120,12
128,4
152,1
205,1
212,1
240,2
242,1
249,2
264,1
268,2
278,1
341,1
364,5
380,1
441,1
446,1
472,1
496,1
512,3
600,1
784,1
800,1
834,1
968,1
988,1
992,2
1000,1
1008,11
1024,1
1200,1
2048,1
4080,1
8056,1
