size,count
1,44
2,41
3,7
4,28
5,34
6,51
7,18
8,17
9,17
10,31
11,11
12,24
13,20
14,11
15,16
16,26
17,11
18,6
19,3
20,8
21,8
22,3
23,1
24,141
25,4
26,4
27,3
28,88
29,11
30,7
31,8
32,94
33,11
34,6
35,4
36,12
37,5
38,1
40,5
41,2
42,3
44,2
48,48
51,1
52,75
53,3
54,1
56,10
57,1
61,2
62,1
64,3
72,2
76,2
80,28
88,5
92,1
104,1
108,1
112,2
120,12
128,4
152,1
205,1
212,1
240,2
242,1
249,1
264,2
268,1
278,1
341,2
364,5
380,1
441,1
446,1
472,1
496,1
512,3
600,1
784,1
800,1
834,1
968,1
988,1
992,2
1000,1
1008,11
1024,1
1200,1
2048,1
4080,1
8056,1
