size,count
1,2
2,1
3,4
4,30
5,11
6,7
7,41
8,159
9,19
10,11
11,4
12,120
13,23
14,27
15,23
16,120
17,31
18,12
19,81
20,15
21,37
22,37
23,24
24,378
25,34
26,14
27,10
28,18
29,19
30,18
31,35
32,222
33,26
34,7
35,2
36,7
37,4
38,6
39,7
40,190
41,9
42,5
43,4
44,5
46,3
47,12
48,177
49,3
50,9
52,11
53,5
54,23
55,9
56,150
57,22
58,8
61,11
62,9
63,10
64,91
65,5
71,2
72,70
74,2
80,16
81,1
84,2
85,2
86,1
87,4
88,78
89,4
90,5
91,7
92,3
93,3
94,11
95,3
96,14
97,4
98,7
99,2
100,135
101,2
102,7
103,1
104,4
105,83
109,2
110,10
111,2
112,8
114,13
115,3
116,31
117,2
118,2
119,2
120,22
122,4
123,2
124,5
125,2
126,2
127,1
128,33
129,2
130,6
131,4
132,11
133,3
134,4
135,1
136,6
137,6
138,1
140,2
141,1
142,4
144,7
145,1
146,9
149,2
152,11
153,1
154,2
156,1
157,1
158,4
160,7
161,2
162,1
163,1
164,4
165,2
166,1
167,2
168,7
170,2
176,4
184,1
192,2
200,22
208,6
211,1
216,1
223,5
224,3
240,3
247,1
248,1
254,1
256,5
288,1
300,1
304,2
312,1
320,2
344,3
352,1
360,4
394,12
404,4
414,1
432,1
472,13
488,5
496,1
522,3
537,1
568,118
776,1
788,1
880,1
952,1
1024,1
1032,1
1040,10
1056,61
1173,1
1181,1
1182,2
1208,1
1212,1
1214,3
1215,1
1217,4
1218,1
1221,2
1222,1
1223,2
1224,1
1225,1
1472,1
1552,1
1600,1
2048,1
2056,6
2064,1
2080,18
2104,3
3144,1
8208,2
32640,4
32808,5
