size,count
23,1
72,2
77,1
113,1
140,1
157,1
166,1
171,1
191,1
213,1
233,1
274,1
306,1
320,1
327,1
346,1
364,1
375,1
377,1
398,2
425,1
426,1
475,1
480,1
500,1
535,1
570,1
573,1
585,1
604,1
613,1
614,1
621,1
636,1
644,1
655,1
687,1
699,1
711,1
714,1
740,1
741,1
779,1
808,1
819,1
821,1
829,1
866,1
867,1
884,1
903,1
927,1
930,1
937,1
942,1
949,1
970,1
980,1
982,1
1012,1
1018,1
1036,1
1067,1
1088,1
1124,1
1156,1
1192,1
1195,1
1202,1
1205,1
1213,1
1246,1
1259,1
1291,1
1303,1
1353,1
1356,1
1358,1
1361,1
1377,2
1417,1
1424,1
1425,1
1430,1
1458,1
1459,1
1470,1
1482,1
1485,1
1489,1
1506,1
1513,1
1515,1
1538,1
1554,1
1559,1
1575,1
1581,1
1591,1
1605,1
1609,1
1614,1
1617,1
1630,1
1639,1
1645,1
1672,1
1707,1
1711,1
1726,1
1741,1
1742,1
1766,1
1786,1
1815,1
1845,1
1853,1
1855,1
1856,1
1873,1
1877,1
1899,1
1908,1
1927,1
1945,1
1946,1
1956,1
1958,1
1966,1
1978,1
1988,1
2047,1
2060,1
2072,1
2110,1
2114,1
2124,1
2135,1
2137,1
2144,2
2161,1
2165,1
2166,1
2169,1
2191,1
2202,1
2224,1
2226,1
2229,1
2288,1
2314,1
2315,1
2340,1
2357,1
2360,1
2361,1
2392,1
2408,1
2426,1
2433,1
2440,1
2454,1
2471,1
2521,1
2526,1
2531,1
2532,1
2542,1
2594,1
2615,1
2629,1
2641,1
2669,1
2672,1
2731,1
2739,1
2756,1
2759,1
2760,1
2761,1
2764,1
2780,1
2787,1
2790,1
2806,1
2811,1
2817,1
2823,1
2845,1
2850,1
2855,1
2864,1
2867,1
2891,2
2918,1
2919,1
2964,1
2982,1
3013,1
3037,1
3040,1
3049,1
3068,1
3069,1
3095,1
3101,1
3141,1
3175,1
3186,1
3188,1
3212,1
3232,1
3246,1
3253,1
3269,1
3270,1
3271,1
3272,1
3274,1
3280,1
3290,1
3296,1
3320,1
3337,1
3369,1
3401,1
3406,1
3412,1
3433,1
3440,1
3484,1
3495,1
3509,1
3516,1
3540,1
3558,1
3568,1
3579,1
3639,1
3646,1
3705,1
3730,1
3731,1
3795,1
3797,1
3825,1
3859,1
3864,1
3871,1
3884,1
3890,1
3918,1
3926,1
3931,1
3937,1
3988,1
3997,1
4010,1
4019,1
4020,1
4072,1
4088,1
4213,1
4218,1
4240,1
4260,1
4263,1
4302,1
4303,1
4313,1
4349,1
4409,1
4412,1
4417,1
4419,1
4432,1
4434,1
4477,1
4483,1
4484,1
4493,1
4513,1
4526,1
4534,1
4546,1
4567,1
4575,1
4641,1
4688,1
4697,1
4706,1
4738,1
4740,1
4745,1
4758,1
4767,1
4776,1
4816,1
4827,1
4831,1
4835,2
4851,1
4886,1
