size,count
1,1
2,1
10,1
13,1
17,1
22,2
63,1
78,1
90,1
119,1
173,1
180,1
185,1
205,1
212,1
214,1
233,1
242,1
245,1
246,1
306,1
313,1
316,1
328,1
348,1
375,1
377,1
384,1
386,1
430,1
448,1
510,1
520,1
534,1
541,1
575,1
583,1
596,1
603,1
607,1
631,1
635,1
643,1
647,1
693,1
698,1
701,2
714,1
723,1
738,1
749,1
751,1
766,1
798,1
806,1
829,1
833,1
853,1
858,1
868,2
881,1
885,1
912,1
921,1
932,1
943,1
947,1
967,1
1020,1
1021,1
1029,1
1034,1
1057,1
1074,1
1084,1
1087,1
1096,1
1104,1
1110,2
1125,1
1134,1
1138,1
1160,1
1183,1
1185,1
1215,1
1237,1
1242,1
1265,1
1268,1
1313,1
1316,1
1335,1
1350,1
1361,1
1405,1
1411,1
1412,1
1424,1
1427,1
1434,1
1436,1
1449,1
1453,1
1476,1
1478,1
1529,1
1532,1
1544,1
1545,1
1556,1
1564,2
1570,1
1578,1
1592,2
1608,1
1616,1
1626,1
1630,1
1654,1
1665,1
1675,1
1698,1
1703,1
1736,1
1791,1
1795,1
1799,1
1812,1
1832,1
1835,1
1851,1
1859,1
1867,1
1871,1
1894,1
1928,1
1944,1
1945,1
1965,1
1977,1
1982,1
2000,1
2010,1
2022,1
2034,1
2052,1
2054,1
2081,1
2100,1
2114,1
2117,1
2123,1
2140,1
2141,1
2163,1
2198,1
2199,1
2201,1
2246,1
2254,1
2267,1
2272,1
2277,1
2344,1
2351,1
2372,1
2373,1
2375,1
2386,1
2392,1
2393,1
2401,1
2402,1
2412,1
2415,1
2425,1
2429,1
2442,1
2459,1
2490,1
2510,1
2516,1
2532,1
2544,1
2555,1
2557,1
2563,1
2595,1
2596,1
2606,1
2620,1
2630,1
2647,1
2656,1
2660,1
2698,1
2717,1
2728,1
2732,1
2735,1
2747,1
2750,1
2764,1
2775,1
2783,1
2790,1
2805,1
2807,1
2827,1
2831,1
2877,1
2881,1
2882,1
2893,1
2901,1
2906,1
2914,1
2933,1
3008,1
3013,1
3038,1
3063,1
3087,1
3093,1
3098,1
3145,1
3159,1
3166,1
3186,1
3188,1
3204,1
3210,2
3232,1
3244,1
3246,1
3270,1
3276,1
3280,1
3281,1
3343,1
3398,1
3407,1
3408,1
3417,1
3429,1
3433,1
3453,1
3458,1
3462,1
3465,1
3487,1
3510,1
3540,1
3561,1
3601,1
3605,1
3608,1
3611,1
3612,1
3651,1
3661,1
3680,1
3690,1
3709,1
3720,1
3739,1
3747,1
3751,1
3759,1
3777,1
3814,1
3830,1
3847,1
3850,1
3879,1
3904,1
3905,1
3912,1
3929,1
3930,1
3945,1
3950,1
3962,1
3977,1
3983,2
3985,1
4014,1
4026,1
4033,2
4035,1
4036,1
4045,1
4046,2
4060,1
4066,1
4094,1
4114,1
4140,1
4146,1
4156,1
4159,1
4164,1
4165,1
4173,1
4247,1
4248,1
4264,1
4269,1
4270,1
4275,1
4293,1
4301,1
4311,1
4324,1
4341,1
4351,1
4358,1
4363,1
4385,1
4394,1
4412,1
4447,1
4475,1
4488,1
4522,1
4529,1
4538,1
4552,1
4554,1
4605,1
4606,1
4607,1
4638,1
4659,1
4664,1
4697,1
4700,1
4704,1
4720,1
4722,2
4734,1
4741,1
4756,1
4761,1
4782,1
4787,1
4798,1
4799,1
4818,1
4839,1
4858,1
4880,1
4892,1
4954,1
4955,1
4971,1
4974,1
4986,1
4992,1
5001,1
5002,1
5048,1
5108,1
5128,1
5142,1
5152,1
5185,1
5201,1
5215,1
5221,1
5230,1
5237,1
5243,1
5244,1
5250,1
5258,1
5265,1
5269,1
5281,1
5282,1
5287,1
5303,1
5305,1
5369,1
5388,1
5389,1
5399,1
5413,2
5420,1
5487,1
5518,1
5524,1
5539,1
5540,1
5541,1
5544,1
5554,1
5567,1
5571,1
5582,1
5617,1
5629,1
5631,1
5711,1
5737,1
5744,1
5770,1
5775,1
5778,1
5779,1
5783,1
5789,1
5790,1
5795,1
5804,1
5805,1
5826,1
5856,1
5869,1
5876,1
5918,1
5954,1
5978,4
6009,1
6016,1
6032,1
6043,1
6063,2
6064,1
6069,1
6079,1
6082,1
6085,1
6088,2
6111,1
6124,1
6133,2
6143,1
6212,1
6222,1
6224,1
6256,1
6290,1
6322,1
6330,2
6336,1
6354,1
6378,1
6392,2
6394,1
6398,1
6410,1
6440,1
6456,1
6466,1
6473,1
6480,1
6481,1
6496,1
6497,1
6507,1
6508,1
6529,1
6547,1
6555,1
6575,1
6626,1
6631,1
6633,1
6652,1
6655,3
6680,1
6681,1
6699,1
6701,1
6704,1
6709,1
6716,1
6724,1
6781,1
6814,1
6830,1
6832,1
6835,1
6843,1
6847,1
6849,1
6865,1
6881,1
6882,1
6887,1
6888,1
6911,1
6921,1
