size,count
1,4
2,531
3,412
4,44
5,18
6,42
7,14
8,2874
9,29
10,15
11,30
12,91
13,23
14,14
15,11
16,847
17,30
18,31
19,6
20,102
21,5
22,11
23,31
24,1035
25,81
26,18
27,40
28,92
29,22
30,48
31,60
32,133
33,84
34,44
35,41
36,562
37,14
38,33
39,22
40,22
41,14
42,4
43,5
44,60
45,3
46,2
47,3
48,68
49,2
50,1
52,2
55,1
56,6
60,8
61,1
62,2
63,1
64,6
65,1
68,1
69,6
70,1
71,14
72,21
73,13
75,146
76,8
77,24
78,12
79,16
80,9
81,32
82,18
83,10
84,16
85,20
86,6
87,12
89,10
91,7
92,2
93,4
96,5
100,1
104,15
108,2
112,8
116,1
120,2
124,1
128,2
136,1
140,2
148,1
156,1
168,7
172,1
176,2
192,1
200,1
212,1
216,2
232,1
236,1
244,1
252,1
256,8
276,1
296,1
304,2
320,1
328,2
336,1
340,1
352,1
364,24
380,1
404,1
416,5
472,1
511,1
512,1
533,1
547,1
564,1
568,1
580,1
600,1
700,2
800,1
955,2
1024,6
1160,1
1172,1
1184,1
1336,1
1492,2
1656,6
1740,1
1780,2
1984,1
2048,7
2128,2
2840,1
3072,3
4095,4
4096,1
8176,1
8192,12
20412,1
20480,1
327680,1
