size,count
7,3040
9,3326
10,2692
11,3045
12,32785
13,2254
14,2941
15,2637
24,6005
40,1350
42,968
48,21938
72,23393
80,20635
120,428
160,2370
258,41
456,427
504,136
1008,198
2040,68
4072,17463
4430,6
5476,80
5672,10
8208,18
8760,8
10852,36
21604,9
1,9942
2,9471
17,1860
22,930
63,302
78,222
90,75
119,57
173,53
180,45
185,35
205,58
212,66
214,38
233,45
242,50
245,44
246,53
306,56
313,33
316,33
328,116
348,43
375,36
377,45
384,216
386,37
430,39
448,4208
510,47
520,111
534,39
541,45
575,36
583,44
596,44
603,31
607,20
631,25
635,34
643,32
647,58
693,30
698,33
701,57
714,49
723,36
738,41
749,50
751,33
766,43
798,47
806,39
829,28
833,29
853,57
858,40
868,33
881,35
885,44
912,109
921,44
932,46
943,29
947,40
967,52
1020,23
1021,29
1029,31
1034,30
1057,44
1074,39
1084,38
1087,27
1096,27
1104,29
1110,44
1125,39
1134,37
1138,42
1160,54
1183,48
1185,35
1215,36
1237,42
1242,35
1265,40
1268,40
1313,37
1316,38
1335,47
1350,44
1361,46
1405,40
1411,44
1412,33
1424,46
1427,45
1434,46
1436,36
1449,25
1453,45
1476,40
1478,33
1529,47
1532,29
1544,48
1545,36
1556,41
1564,47
1570,37
1578,52
1592,51
1608,37
1616,48
1626,39
1630,35
1654,53
1665,43
1675,49
1698,50
1703,44
1736,38
1791,46
1795,46
1799,38
1812,29
1832,21
1835,46
1851,41
1859,36
1867,44
1871,42
1894,52
1928,42
1944,44
1945,38
1965,38
1977,46
1982,26
2000,43
2010,32
2022,45
2034,41
2052,41
2054,49
2081,40
2100,34
2114,40
2117,40
2123,24
2140,37
2141,44
2163,43
2198,43
2199,34
2201,47
2246,45
2254,31
2267,31
2272,128
2277,32
2344,28
2351,44
2372,53
2373,35
2375,36
2386,44
2392,59
2393,46
2401,30
2402,29
2412,48
2415,39
2425,31
2429,49
2442,44
2459,32
2490,35
2510,53
2516,28
2532,23
2544,36
2555,65
2557,24
2563,48
2595,33
2596,48
2606,38
2620,35
2630,39
2647,20
2656,138
2660,32
2698,48
2717,35
2728,41
2732,40
2735,45
2747,47
2750,49
2764,45
2775,40
2783,49
2790,46
2805,30
2807,29
2827,52
2831,36
2877,41
2881,36
2882,40
2893,31
2901,33
2906,46
2914,36
2933,51
3008,134
3013,34
3038,40
3063,41
3087,30
3093,24
3098,40
3145,41
3159,40
3166,33
3186,44
3188,27
3204,24
3210,41
3232,25
3244,45
3246,32
3270,52
3276,33
3280,32
3281,41
3343,49
3398,46
3407,49
3408,33
3417,53
3429,49
3433,34
3453,46
3458,49
3462,46
3465,38
3487,51
3510,43
3540,45
3561,34
3601,31
3605,30
3608,35
3611,35
3612,47
3651,45
3661,41
3680,28
3690,29
3709,52
3720,30
3739,27
3747,38
3751,35
3759,42
3777,33
3814,30
3830,23
3847,48
3850,53
3879,38
3904,39
3905,37
3912,44
3929,26
3930,27
3945,47
3950,41
3962,38
3977,36
3983,35
3985,28
4014,42
4026,28
4033,39
4035,41
4036,37
4045,16
4046,43
4060,42
4066,30
4094,46
4114,1
4140,1
4146,3
4156,1
4159,1
4164,1
4165,1
4173,1
4247,3
4248,1
4264,1
4269,1
4270,1
4275,1
4293,1
4301,3
4311,1
4324,1
4341,1
4351,1
4358,1
4363,1
4385,1
4394,1
4412,4
4447,3
4475,1
4488,2
4522,3
4529,1
4538,1
4552,3
4554,1
4605,1
4606,1
4607,3
4638,1
4659,1
4664,1
4697,4
4700,1
4704,1
4720,1
4722,4
4734,5
4741,1
4756,1
4761,1
4782,3
4787,3
4798,1
4799,1
4818,1
4839,1
4858,1
4880,1
4892,3
4954,1
4955,1
4971,2
4974,2
4986,1
4992,5
5001,1
5002,3
5048,1
5108,3
5128,1
5142,3
5152,3
5185,1
5201,1
5215,1
5221,1
5230,1
5237,3
5243,1
5244,1
5250,1
5258,1
5265,1
5269,1
5281,1
5282,4
5287,3
5303,1
5305,1
5369,1
5388,1
5389,1
5399,3
5413,2
5420,9
5487,3
5518,1
5524,1
5539,1
5540,4
5541,1
5544,1
5554,1
5567,4
5571,1
5582,3
5617,3
5629,1
5631,1
5711,1
5737,6
5744,1
5770,1
5775,1
5778,1
5779,3
5783,1
5789,1
5790,1
5795,1
5804,1
5805,1
5826,1
5856,1
5869,1
5876,1
5918,1
5954,1
5978,4
6009,1
6016,3
6032,3
6043,1
6063,2
6064,1
6069,1
6079,1
6082,3
6085,1
6088,2
6111,1
6124,1
6133,2
6143,1
6212,5
6222,3
6224,1
6256,1
6290,1
6322,3
6330,2
6336,1
6354,1
6378,1
6392,4
6394,1
6398,2
6410,2
6440,1
6456,3
6466,1
6473,3
6480,1
6481,1
6496,1
6497,3
6507,3
6508,1
6529,1
6547,3
6555,1
6575,1
6626,1
6631,2
6633,1
6652,3
6655,3
6680,1
6681,1
6699,1
6701,1
6704,1
6709,1
6716,1
6724,1
6781,1
6814,1
6830,1
6832,3
6835,1
6843,1
6847,3
6849,1
6865,1
6881,1
6882,3
6887,3
6888,1
6911,1
6921,1
6924,1
6963,1
6967,3
6976,1
7008,1
7015,1
7038,1
7064,1
7085,1
7096,1
7114,1
7145,1
7175,1
7209,1
7213,1
7221,1
7226,2
7230,1
7258,1
7267,3
7280,1
7284,1
7285,1
7290,1
7294,1
7394,1
7406,2
7443,3
7458,1
7479,1
7481,1
7489,1
7506,3
7515,2
7524,1
7533,3
7572,3
7592,3
7610,1
7630,2
7631,2
7689,1
7700,1
7703,1
7704,1
7712,3
7714,1
7717,3
7732,4
7737,3
7749,2
7752,3
7786,1
7799,1
7807,3
7809,2
7811,1
7836,1
7843,1
7885,3
7904,1
7941,1
7944,1
7968,1
7989,1
7998,2
8000,1
8004,1
8036,1
8067,3
8092,3
8098,1
8106,1
8126,1
8130,1
8139,1
8165,1
8176,3
8178,1
8195,1
8201,1
8251,1
8260,1
8266,1
8284,1
8294,1
8296,1
8306,1
8316,1
8328,2
8349,3
8353,1
8358,1
8367,3
8371,1
8379,2
8383,1
8420,2
8429,1
8442,3
8443,1
8453,1
8462,5
8468,1
8471,3
8473,1
8476,1
8509,1
8542,3
8545,1
8559,3
8593,1
8594,1
8609,1
8610,1
8612,5
8643,2
8655,1
8668,1
8698,3
8726,1
8734,1
8736,1
8743,1
8762,3
8763,3
8767,3
8781,2
8788,2
8792,3
8794,1
8807,3
8827,3
8839,1
8840,1
8848,1
8854,1
8907,3
8908,1
8919,1
8926,1
8969,1
8970,1
8983,1
9000,1
9040,1
9054,1
9067,4
9078,1
9089,1
9094,1
9104,3
9150,1
9151,1
9157,3
9173,1
9177,5
9180,1
9193,1
9206,1
9231,2
9232,5
9261,1
9263,1
9268,1
9289,2
9297,3
9300,1
9314,1
9319,1
9325,1
9331,1
9344,3
9386,2
9393,1
9416,1
9441,1
9442,3
9486,1
9494,1
9501,2
9504,3
9522,3
9533,1
9534,2
9580,1
9590,1
9607,3
9631,1
9651,1
9656,1
9697,3
9752,3
9782,3
9785,2
9796,1
9808,1
9841,1
9854,1
9864,1
9884,1
9917,3
9935,1
9948,1
9964,1
